aor_nam,arrests,Apprehension MonthYear
Atlanta,862,2022-10
Atlanta,862,2022-11
Atlanta,512,2022-12
Atlanta,576,2023-01
Atlanta,589,2023-02
Atlanta,637,2023-03
Atlanta,502,2023-04
Atlanta,519,2023-05
Atlanta,481,2023-06
Atlanta,447,2023-07
Atlanta,481,2023-08
Atlanta,484,2023-09
Atlanta,579,2023-10
Atlanta,483,2023-11
Atlanta,412,2023-12
Atlanta,409,2024-01
Atlanta,445,2024-02
Atlanta,493,2024-03
Atlanta,498,2024-04
Atlanta,570,2024-05
Atlanta,462,2024-06
Atlanta,524,2024-07
Atlanta,516,2024-08
Atlanta,483,2024-09
Atlanta,572,2024-10
Atlanta,506,2024-11
Atlanta,480,2024-12
Atlanta,769,2025-01
Atlanta,1282,2025-02
Atlanta,1554,2025-03
Atlanta,1388,2025-04
Atlanta,1680,2025-05
Atlanta,1847,2025-06
Atlanta,1803,2025-07
Atlanta,1741,2025-08
Atlanta,2051,2025-09
Atlanta,1953,2025-10
Atlanta,2259,2025-11
Atlanta,2213,2025-12
Atlanta,2218,2026-01
Atlanta,2091,2026-02
Atlanta,890,2026-03
Baltimore,218,2022-10
Baltimore,205,2022-11
Baltimore,194,2022-12
Baltimore,85,2023-01
Baltimore,155,2023-02
Baltimore,118,2023-03
Baltimore,112,2023-04
Baltimore,190,2023-05
Baltimore,161,2023-06
Baltimore,217,2023-07
Baltimore,166,2023-08
Baltimore,131,2023-09
Baltimore,100,2023-10
Baltimore,85,2023-11
Baltimore,76,2023-12
Baltimore,87,2024-01
Baltimore,107,2024-02
Baltimore,127,2024-03
Baltimore,127,2024-04
Baltimore,128,2024-05
Baltimore,110,2024-06
Baltimore,122,2024-07
Baltimore,121,2024-08
Baltimore,197,2024-09
Baltimore,143,2024-10
Baltimore,108,2024-11
Baltimore,91,2024-12
Baltimore,200,2025-01
Baltimore,278,2025-02
Baltimore,304,2025-03
Baltimore,231,2025-04
Baltimore,367,2025-05
Baltimore,453,2025-06
Baltimore,403,2025-07
Baltimore,281,2025-08
Baltimore,425,2025-09
Baltimore,379,2025-10
Baltimore,488,2025-11
Baltimore,646,2025-12
Baltimore,766,2026-01
Baltimore,748,2026-02
Baltimore,178,2026-03
Boston,1299,2022-10
Boston,1029,2022-11
Boston,1055,2022-12
Boston,1278,2023-01
Boston,816,2023-02
Boston,912,2023-03
Boston,795,2023-04
Boston,510,2023-05
Boston,353,2023-06
Boston,290,2023-07
Boston,231,2023-08
Boston,189,2023-09
Boston,241,2023-10
Boston,169,2023-11
Boston,171,2023-12
Boston,193,2024-01
Boston,219,2024-02
Boston,186,2024-03
Boston,240,2024-04
Boston,232,2024-05
Boston,186,2024-06
Boston,178,2024-07
Boston,161,2024-08
Boston,147,2024-09
Boston,160,2024-10
Boston,165,2024-11
Boston,182,2024-12
Boston,282,2025-01
Boston,424,2025-02
Boston,685,2025-03
Boston,333,2025-04
Boston,1524,2025-05
Boston,663,2025-06
Boston,508,2025-07
Boston,510,2025-08
Boston,1356,2025-09
Boston,611,2025-10
Boston,646,2025-11
Boston,781,2025-12
Boston,919,2026-01
Boston,687,2026-02
Boston,386,2026-03
Buffalo,180,2022-10
Buffalo,191,2022-11
Buffalo,176,2022-12
Buffalo,308,2023-01
Buffalo,196,2023-02
Buffalo,175,2023-03
Buffalo,120,2023-04
Buffalo,113,2023-05
Buffalo,100,2023-06
Buffalo,107,2023-07
Buffalo,114,2023-08
Buffalo,83,2023-09
Buffalo,99,2023-10
Buffalo,81,2023-11
Buffalo,57,2023-12
Buffalo,55,2024-01
Buffalo,71,2024-02
Buffalo,80,2024-03
Buffalo,76,2024-04
Buffalo,69,2024-05
Buffalo,54,2024-06
Buffalo,75,2024-07
Buffalo,52,2024-08
Buffalo,50,2024-09
Buffalo,72,2024-10
Buffalo,63,2024-11
Buffalo,61,2024-12
