,Apprehension Date,Apprehension AOR,citizenship_country,citizenship_country_cleaned,Continent,Country
0,2025-10-15,Newark,Peru,Peru,South America,Peru
1,2025-10-15,El Paso,Honduras,Honduras,North America,Honduras
2,2025-06-11,New Orleans,Honduras,Honduras,North America,Honduras
3,2025-10-15,Denver,Venezuela,Venezuela,South America,Venezuela
4,2025-10-15,Houston,"China, Peoples Republic Of",China,Asia,China
5,2025-07-17,Houston,"China, Peoples Republic Of",China,Asia,China
6,2025-04-06,New Orleans,Honduras,Honduras,North America,Honduras
7,2025-10-15,New Orleans,Mexico,Mexico,North America,Mexico
8,2025-10-15,Dallas,India,India,Asia,India
9,2025-10-15,Houston,Honduras,Honduras,North America,Honduras
10,2025-10-15,Houston,El Salvador,El Salvador,North America,El Salvador
11,2025-10-15,Houston,Honduras,Honduras,North America,Honduras
12,2025-10-15,Boston,Dominican Republic,Dominican Republic,North America,Dominican Republic
13,2025-10-15,Atlanta,Guatemala,Guatemala,North America,Guatemala
14,2025-10-15,Atlanta,Mexico,Mexico,North America,Mexico
15,2025-10-15,Atlanta,Guatemala,Guatemala,North America,Guatemala
16,2025-10-15,Atlanta,Nicaragua,Nicaragua,North America,Nicaragua
17,2025-10-15,Chicago,Mexico,Mexico,North America,Mexico
18,2025-10-15,Newark,Mexico,Mexico,North America,Mexico
19,2025-10-15,Houston,Honduras,Honduras,North America,Honduras
20,2025-10-15,Newark,Dominican Republic,Dominican Republic,North America,Dominican Republic
21,2025-10-15,Houston,Cuba,Cuba,North America,Cuba
22,2025-10-15,Newark,Ecuador,Ecuador,South America,Ecuador
23,2025-10-15,El Paso,Guatemala,Guatemala,North America,Guatemala
24,2025-10-15,El Paso,Guatemala,Guatemala,North America,Guatemala
25,2025-10-15,El Paso,Mexico,Mexico,North America,Mexico
26,2025-10-15,El Paso,Mexico,Mexico,North America,Mexico
27,2025-10-15,El Paso,Mexico,Mexico,North America,Mexico
28,2025-10-15,El Paso,Guatemala,Guatemala,North America,Guatemala
29,2025-10-15,El Paso,Honduras,Honduras,North America,Honduras
30,2025-10-15,Chicago,Mexico,Mexico,North America,Mexico
31,2025-10-15,El Paso,Mexico,Mexico,North America,Mexico
32,2025-10-15,El Paso,Mexico,Mexico,North America,Mexico
33,2025-10-15,Houston,Mexico,Mexico,North America,Mexico
34,2025-10-15,Houston,El Salvador,El Salvador,North America,El Salvador
35,2025-10-15,Chicago,Mexico,Mexico,North America,Mexico
36,2025-10-15,Houston,Mexico,Mexico,North America,Mexico
37,2025-07-06,Houston,Mexico,Mexico,North America,Mexico
38,2025-10-15,Chicago,Mexico,Mexico,North America,Mexico
39,2025-10-15,Miami,Nicaragua,Nicaragua,North America,Nicaragua
