Apprehension MonthYear,arrests
2022-10,16328
2022-11,16027
2022-12,15061
2023-01,17749
2023-02,15823
2023-03,15350
2023-04,13019
2023-05,13382
2023-06,12323
2023-07,11395
2023-08,11533
2023-09,10301
2023-10,9813
2023-11,8730
2023-12,9686
2024-01,8328
2024-02,9412
2024-03,9402
2024-04,9948
2024-05,10069
2024-06,8305
2024-07,9292
2024-08,9004
2024-09,8247
2024-10,9299
2024-11,8032
2024-12,8345
2025-01,11916
2025-02,16854
2025-03,18265
2025-04,17370
2025-05,21944
2025-06,28638
2025-07,25767
2025-08,26753
2025-09,31681
2025-10,35777
2025-11,32919
2025-12,36475
2026-01,36007
2026-02,28573
2026-03,9893
