view,characteristic,value,percentage
gender,female,63084,0.11498145431016413
gender,male,483950,0.8820822207438326
gender,unknown,1611,0.0029363249460033357
age group,0-17,8629,0.01572789591774615
age group,18-24,81586,0.1487050778010473
age group,25-34,193545,0.35277038073938793
age group,35-44,154545,0.2816859050420765
age group,45-54,81420,0.14840251310961772
age group,55-64,24331,0.044347599440802125
age group,65+,4587,0.008360627949322236
criminality,convicted,176275,0.32129154553490874
criminality,no criminal charges,207797,0.37874581924559597
criminality,pending charges,164573,0.2999626352194953
