aor_nam,Apprehension Date,arrests,week_rolling_avg,Administration
Atlanta,2015-10-01,35,,Trump 1.0
Atlanta,2015-10-02,35,,Trump 1.0
Atlanta,2015-10-03,2,,Trump 1.0
Atlanta,2015-10-04,1,,Trump 1.0
Atlanta,2015-10-05,28,,Trump 1.0
Atlanta,2015-10-06,37,,Trump 1.0
Atlanta,2015-10-07,28,24.0,Trump 1.0
Atlanta,2015-10-08,29,23.0,Trump 1.0
Atlanta,2015-10-09,32,22.0,Trump 1.0
Atlanta,2015-10-10,6,23.0,Trump 1.0
Atlanta,2015-10-11,4,23.0,Trump 1.0
Atlanta,2015-10-12,9,21.0,Trump 1.0
Atlanta,2015-10-13,32,20.0,Trump 1.0
Atlanta,2015-10-14,34,21.0,Trump 1.0
Atlanta,2015-10-15,40,22.0,Trump 1.0
Atlanta,2015-10-16,34,23.0,Trump 1.0
Atlanta,2015-10-17,3,22.0,Trump 1.0
Atlanta,2015-10-18,2,22.0,Trump 1.0
Atlanta,2015-10-19,29,25.0,Trump 1.0
Atlanta,2015-10-20,38,26.0,Trump 1.0
Atlanta,2015-10-21,47,28.0,Trump 1.0
Atlanta,2015-10-22,38,27.0,Trump 1.0
Atlanta,2015-10-23,35,27.0,Trump 1.0
Atlanta,2015-10-24,3,27.0,Trump 1.0
Atlanta,2015-10-25,25,31.0,Trump 1.0
Atlanta,2015-10-26,36,32.0,Trump 1.0
Atlanta,2015-10-27,41,32.0,Trump 1.0
Atlanta,2015-10-28,45,32.0,Trump 1.0
Atlanta,2015-10-29,37,32.0,Trump 1.0
Atlanta,2015-10-30,122,44.0,Trump 1.0
Atlanta,2015-10-31,2,44.0,Trump 1.0
Atlanta,2015-11-01,3,41.0,Trump 1.0
Atlanta,2015-11-02,84,48.0,Trump 1.0
Atlanta,2015-11-03,43,48.0,Trump 1.0
Atlanta,2015-11-04,35,47.0,Trump 1.0
Atlanta,2015-11-05,31,46.0,Trump 1.0
Atlanta,2015-11-06,29,32.0,Trump 1.0
Atlanta,2015-11-07,1,32.0,Trump 1.0
Atlanta,2015-11-08,2,32.0,Trump 1.0
Atlanta,2015-11-09,51,27.0,Trump 1.0
Atlanta,2015-11-10,37,27.0,Trump 1.0
Atlanta,2015-11-11,2,22.0,Trump 1.0
Atlanta,2015-11-12,36,23.0,Trump 1.0
Atlanta,2015-11-13,43,25.0,Trump 1.0
Atlanta,2015-11-14,9,26.0,Trump 1.0
Atlanta,2015-11-15,19,28.0,Trump 1.0
Atlanta,2015-11-16,30,25.0,Trump 1.0
Atlanta,2015-11-17,37,25.0,Trump 1.0
Atlanta,2015-11-18,42,31.0,Trump 1.0
Atlanta,2015-11-19,39,31.0,Trump 1.0
Atlanta,2015-11-20,30,29.0,Trump 1.0
Atlanta,2015-11-21,5,29.0,Trump 1.0
Atlanta,2015-11-22,6,27.0,Trump 1.0
Atlanta,2015-11-23,27,27.0,Trump 1.0
Atlanta,2015-11-24,34,26.0,Trump 1.0
Atlanta,2015-11-25,18,23.0,Trump 1.0
Atlanta,2015-11-27,23,20.0,Trump 1.0
Atlanta,2015-11-28,1,16.0,Trump 1.0
Atlanta,2015-11-29,1,16.0,Trump 1.0
Atlanta,2015-11-30,30,19.0,Trump 1.0
Atlanta,2015-12-01,36,20.0,Trump 1.0
Atlanta,2015-12-02,43,22.0,Trump 1.0
Atlanta,2015-12-03,25,23.0,Trump 1.0
Atlanta,2015-12-04,30,24.0,Trump 1.0
Atlanta,2015-12-05,6,24.0,Trump 1.0
Atlanta,2015-12-06,4,25.0,Trump 1.0
Atlanta,2015-12-07,27,24.0,Trump 1.0
Atlanta,2015-12-08,29,23.0,Trump 1.0
Atlanta,2015-12-09,25,21.0,Trump 1.0
Atlanta,2015-12-10,28,21.0,Trump 1.0
Atlanta,2015-12-11,36,22.0,Trump 1.0
Atlanta,2015-12-12,27,25.0,Trump 1.0
Atlanta,2015-12-13,19,27.0,Trump 1.0
Atlanta,2015-12-14,34,28.0,Trump 1.0
Atlanta,2015-12-15,41,30.0,Trump 1.0
Atlanta,2015-12-16,34,31.0,Trump 1.0
Atlanta,2015-12-17,38,33.0,Trump 1.0
Atlanta,2015-12-18,38,33.0,Trump 1.0
Atlanta,2015-12-19,3,30.0,Trump 1.0
Atlanta,2015-12-20,1,27.0,Trump 1.0
Atlanta,2015-12-21,23,25.0,Trump 1.0
Atlanta,2015-12-22,29,24.0,Trump 1.0
Atlanta,2015-12-23,22,22.0,Trump 1.0
Atlanta,2015-12-24,19,19.0,Trump 1.0
Atlanta,2015-12-25,1,14.0,Trump 1.0
Atlanta,2015-12-26,9,15.0,Trump 1.0
Atlanta,2015-12-27,3,15.0,Trump 1.0
Atlanta,2015-12-28,23,15.0,Trump 1.0
Atlanta,2015-12-29,18,14.0,Trump 1.0
Atlanta,2015-12-30,24,14.0,Trump 1.0
Atlanta,2015-12-31,22,14.0,Trump 1.0
Atlanta,2016-01-01,1,14.0,Trump 1.0
Atlanta,2016-01-02,58,21.0,Trump 1.0
Atlanta,2016-01-03,21,24.0,Trump 1.0
Atlanta,2016-01-04,19,23.0,Trump 1.0
Atlanta,2016-01-05,25,24.0,Trump 1.0
Atlanta,2016-01-06,32,25.0,Trump 1.0
Atlanta,2016-01-07,27,26.0,Trump 1.0
Atlanta,2016-01-08,32,31.0,Trump 1.0
Atlanta,2016-01-09,5,23.0,Trump 1.0
Atlanta,2016-01-10,2,20.0,Trump 1.0
Atlanta,2016-01-11,27,21.0,Trump 1.0
Atlanta,2016-01-12,33,23.0,Trump 1.0
Atlanta,2016-01-13,17,20.0,Trump 1.0
Atlanta,2016-01-14,34,21.0,Trump 1.0
Atlanta,2016-01-15,33,22.0,Trump 1.0
Atlanta,2016-01-16,1,21.0,Trump 1.0
Atlanta,2016-01-17,5,21.0,Trump 1.0
Atlanta,2016-01-18,6,18.0,Trump 1.0
Atlanta,2016-01-19,26,17.0,Trump 1.0
Atlanta,2016-01-20,33,20.0,Trump 1.0
Atlanta,2016-01-21,30,19.0,Trump 1.0
Atlanta,2016-01-22,19,17.0,Trump 1.0
Atlanta,2016-01-23,5,18.0,Trump 1.0
Atlanta,2016-01-24,8,18.0,Trump 1.0
Atlanta,2016-01-25,24,21.0,Trump 1.0
Atlanta,2016-01-26,39,23.0,Trump 1.0
Atlanta,2016-01-27,40,24.0,Trump 1.0
Atlanta,2016-01-28,32,24.0,Trump 1.0
Atlanta,2016-01-29,34,26.0,Trump 1.0
Atlanta,2016-01-30,4,26.0,Trump 1.0
Atlanta,2016-01-31,4,25.0,Trump 1.0
Atlanta,2016-02-01,42,28.0,Trump 1.0
Atlanta,2016-02-02,29,26.0,Trump 1.0
Atlanta,2016-02-03,34,26.0,Trump 1.0
Atlanta,2016-02-04,29,25.0,Trump 1.0
Atlanta,2016-02-05,23,24.0,Trump 1.0
Atlanta,2016-02-06,26,27.0,Trump 1.0
Atlanta,2016-02-07,8,27.0,Trump 1.0
Atlanta,2016-02-08,33,26.0,Trump 1.0
Atlanta,2016-02-09,38,27.0,Trump 1.0
Atlanta,2016-02-10,37,28.0,Trump 1.0
Atlanta,2016-02-11,37,29.0,Trump 1.0
Atlanta,2016-02-12,29,30.0,Trump 1.0
Atlanta,2016-02-13,7,27.0,Trump 1.0
Atlanta,2016-02-14,2,26.0,Trump 1.0
Atlanta,2016-02-15,4,22.0,Trump 1.0
Atlanta,2016-02-16,24,20.0,Trump 1.0
Atlanta,2016-02-17,35,20.0,Trump 1.0
Atlanta,2016-02-18,34,19.0,Trump 1.0
Atlanta,2016-02-19,40,21.0,Trump 1.0
Atlanta,2016-02-20,11,21.0,Trump 1.0
Atlanta,2016-02-21,3,22.0,Trump 1.0
Atlanta,2016-02-22,29,25.0,Trump 1.0
Atlanta,2016-02-23,36,27.0,Trump 1.0
Atlanta,2016-02-24,24,25.0,Trump 1.0
Atlanta,2016-02-25,30,25.0,Trump 1.0
Atlanta,2016-02-26,37,24.0,Trump 1.0
Atlanta,2016-02-27,2,23.0,Trump 1.0
Atlanta,2016-02-28,5,23.0,Trump 1.0
Atlanta,2016-02-29,29,23.0,Trump 1.0
Atlanta,2016-03-01,28,22.0,Trump 1.0
Atlanta,2016-03-02,37,24.0,Trump 1.0
Atlanta,2016-03-03,38,25.0,Trump 1.0
Atlanta,2016-03-04,21,23.0,Trump 1.0
Atlanta,2016-03-05,4,23.0,Trump 1.0
Atlanta,2016-03-06,3,23.0,Trump 1.0
Atlanta,2016-03-07,21,22.0,Trump 1.0
Atlanta,2016-03-08,42,24.0,Trump 1.0
Atlanta,2016-03-09,33,23.0,Trump 1.0
Atlanta,2016-03-10,30,22.0,Trump 1.0
Atlanta,2016-03-11,35,24.0,Trump 1.0
Atlanta,2016-03-12,5,24.0,Trump 1.0
Atlanta,2016-03-13,2,24.0,Trump 1.0
Atlanta,2016-03-14,31,25.0,Trump 1.0
Atlanta,2016-03-15,39,25.0,Trump 1.0
Atlanta,2016-03-16,32,25.0,Trump 1.0
Atlanta,2016-03-17,20,23.0,Trump 1.0
Atlanta,2016-03-18,38,24.0,Trump 1.0
Atlanta,2016-03-19,2,23.0,Trump 1.0
Atlanta,2016-03-20,2,23.0,Trump 1.0
Atlanta,2016-03-21,30,23.0,Trump 1.0
Atlanta,2016-03-22,23,21.0,Trump 1.0
Atlanta,2016-03-23,41,22.0,Trump 1.0
Atlanta,2016-03-24,32,24.0,Trump 1.0
Atlanta,2016-03-25,30,23.0,Trump 1.0
Atlanta,2016-03-26,9,24.0,Trump 1.0
Atlanta,2016-03-27,6,24.0,Trump 1.0
Atlanta,2016-03-28,23,23.0,Trump 1.0
Atlanta,2016-03-29,27,24.0,Trump 1.0
Atlanta,2016-03-30,23,21.0,Trump 1.0
Atlanta,2016-03-31,28,21.0,Trump 1.0
Atlanta,2016-04-01,16,19.0,Trump 1.0
