Apprehension Date,arrests,week_rolling_avg
2023-09-01,384,
2023-09-02,85,
2023-09-03,104,
2023-09-04,117,
2023-09-05,430,
2023-09-06,443,
2023-09-07,452,288.0
2023-09-08,402,290.0
2023-09-09,119,295.0
2023-09-10,86,293.0
2023-09-11,451,340.0
2023-09-12,429,340.0
2023-09-13,495,348.0
2023-09-14,429,344.0
2023-09-15,360,338.0
2023-09-16,80,333.0
2023-09-17,84,333.0
2023-09-18,441,331.0
2023-09-19,454,335.0
2023-09-20,531,340.0
2023-09-21,463,345.0
2023-09-22,466,360.0
2023-09-23,195,376.0
2023-09-24,137,384.0
2023-09-25,459,386.0
2023-09-26,647,414.0
2023-09-27,552,417.0
2023-09-28,532,427.0
2023-09-29,412,419.0
2023-09-30,77,402.0
2023-10-01,74,393.0
2023-10-02,368,380.0
2023-10-03,402,345.0
2023-10-04,470,334.0
2023-10-05,432,319.0
2023-10-06,382,315.0
2023-10-07,105,319.0
2023-10-08,117,325.0
2023-10-09,97,286.0
2023-10-10,434,291.0
2023-10-11,468,291.0
2023-10-12,456,294.0
2023-10-13,392,296.0
2023-10-14,119,298.0
2023-10-15,103,296.0
2023-10-16,348,331.0
2023-10-17,422,330.0
2023-10-18,555,342.0
2023-10-19,416,336.0
2023-10-20,393,337.0
2023-10-21,146,340.0
2023-10-22,84,338.0
2023-10-23,391,344.0
2023-10-24,455,349.0
2023-10-25,470,336.0
2023-10-26,461,343.0
2023-10-27,389,342.0
2023-10-28,52,329.0
2023-10-29,66,326.0
2023-10-30,376,324.0
2023-10-31,388,315.0
2023-11-01,463,314.0
2023-11-02,458,313.0
2023-11-03,331,305.0
2023-11-04,98,311.0
2023-11-05,67,312.0
2023-11-06,391,314.0
2023-11-07,455,323.0
2023-11-08,462,323.0
2023-11-09,487,327.0
2023-11-10,115,296.0
2023-11-11,47,289.0
2023-11-12,70,290.0
2023-11-13,371,287.0
2023-11-14,402,279.0
2023-11-15,502,285.0
2023-11-16,455,280.0
2023-11-17,378,318.0
2023-11-18,110,327.0
2023-11-19,63,326.0
2023-11-20,326,319.0
2023-11-21,356,313.0
2023-11-22,366,293.0
2023-11-23,65,238.0
2023-11-24,216,215.0
2023-11-25,31,203.0
2023-11-26,42,200.0
2023-11-27,322,200.0
2023-11-28,411,208.0
2023-11-29,461,221.0
2023-11-30,426,273.0
2023-12-01,382,296.0
2023-12-02,136,311.0
2023-12-03,58,314.0
2023-12-04,375,321.0
2023-12-05,482,331.0
2023-12-06,470,333.0
2023-12-07,385,327.0
2023-12-08,429,334.0
2023-12-09,160,337.0
2023-12-10,58,337.0
2023-12-11,392,339.0
2023-12-12,406,329.0
2023-12-13,457,327.0
2023-12-14,428,333.0
2023-12-15,371,325.0
2023-12-16,149,323.0
2023-12-17,131,333.0
2023-12-18,470,345.0
2023-12-19,504,359.0
2023-12-20,688,392.0
2023-12-21,502,402.0
2023-12-22,466,416.0
2023-12-23,231,427.0
2023-12-24,178,434.0
2023-12-25,159,390.0
2023-12-26,250,353.0
2023-12-27,358,306.0
2023-12-28,288,276.0
2023-12-29,243,244.0
2023-12-30,45,217.0
2023-12-31,45,198.0
2024-01-01,38,181.0
2024-01-02,276,185.0
2024-01-03,341,182.0
2024-01-04,372,194.0
2024-01-05,323,206.0
2024-01-06,100,214.0
2024-01-07,62,216.0
2024-01-08,330,258.0
2024-01-09,360,270.0
2024-01-10,428,282.0
2024-01-11,389,285.0
2024-01-12,336,286.0
2024-01-13,122,290.0
2024-01-14,82,292.0
2024-01-15,79,257.0
2024-01-16,300,248.0
2024-01-17,351,237.0
2024-01-18,451,246.0
2024-01-19,283,238.0
2024-01-20,90,234.0
2024-01-21,63,231.0
2024-01-22,284,260.0
2024-01-23,371,270.0
2024-01-24,451,285.0
2024-01-25,431,282.0
2024-01-26,345,291.0
2024-01-27,64,287.0
2024-01-28,62,287.0
2024-01-29,348,296.0
2024-01-30,407,301.0
2024-01-31,402,294.0
2024-02-01,600,318.0
2024-02-02,396,326.0
2024-02-03,111,332.0
2024-02-04,63,332.0
2024-02-05,400,340.0
2024-02-06,458,347.0
2024-02-07,422,350.0
2024-02-08,462,330.0
2024-02-09,400,331.0
2024-02-10,140,335.0
2024-02-11,76,337.0
2024-02-12,355,330.0
2024-02-13,400,322.0
2024-02-14,445,325.0
2024-02-15,448,323.0
2024-02-16,421,326.0
2024-02-17,61,315.0
2024-02-18,87,317.0
2024-02-19,89,279.0
2024-02-20,389,277.0
2024-02-21,418,273.0
2024-02-22,423,270.0
2024-02-23,437,272.0
2024-02-24,131,282.0
2024-02-25,79,281.0
2024-02-26,437,331.0
2024-02-27,438,338.0
2024-02-28,404,336.0
2024-02-29,443,338.0
2024-03-01,382,331.0
2024-03-02,78,323.0
2024-03-03,41,318.0
2024-03-04,346,305.0
2024-03-05,452,307.0
2024-03-06,505,321.0
2024-03-07,456,323.0
2024-03-08,369,321.0
2024-03-09,106,325.0
2024-03-10,57,327.0
2024-03-11,447,342.0
2024-03-12,473,345.0
2024-03-13,495,343.0
2024-03-14,397,335.0
2024-03-15,373,335.0
2024-03-16,70,330.0
2024-03-17,73,333.0
2024-03-18,394,325.0
2024-03-19,447,321.0
2024-03-20,420,311.0
2024-03-21,444,317.0
2024-03-22,380,318.0
2024-03-23,88,321.0
2024-03-24,71,321.0
2024-03-25,386,319.0
2024-03-26,408,314.0
2024-03-27,449,318.0
2024-03-28,436,317.0
2024-03-29,309,307.0
2024-03-30,31,299.0
2024-03-31,39,294.0
2024-04-01,338,287.0
2024-04-02,357,280.0
2024-04-03,439,278.0
2024-04-04,391,272.0
2024-04-05,384,283.0
2024-04-06,87,291.0
2024-04-07,60,294.0
2024-04-08,367,298.0
2024-04-09,426,308.0
2024-04-10,429,306.0
2024-04-11,409,309.0
2024-04-12,396,311.0
2024-04-13,74,309.0
2024-04-14,60,309.0
2024-04-15,463,322.0
2024-04-16,511,335.0
2024-04-17,484,342.0
2024-04-18,475,352.0
2024-04-19,408,354.0
2024-04-20,72,353.0
2024-04-21,79,356.0
2024-04-22,442,353.0
2024-04-23,472,347.0
2024-04-24,528,354.0
2024-04-25,467,353.0
2024-04-26,407,352.0
2024-04-27,29,346.0
2024-04-28,90,348.0
2024-04-29,391,341.0
2024-04-30,431,335.0
2024-05-01,461,325.0
2024-05-02,426,319.0
2024-05-03,366,313.0
2024-05-04,44,316.0
2024-05-05,58,311.0
2024-05-06,449,319.0
2024-05-07,414,317.0
2024-05-08,480,320.0
2024-05-09,419,319.0
2024-05-10,442,329.0
2024-05-11,67,333.0
2024-05-12,59,333.0
2024-05-13,419,329.0
2024-05-14,444,333.0
2024-05-15,496,335.0
2024-05-16,419,335.0
2024-05-17,425,333.0
2024-05-18,73,334.0
2024-05-19,92,338.0
2024-05-20,397,335.0
2024-05-21,403,329.0
2024-05-22,439,321.0
2024-05-23,413,320.0
2024-05-24,429,321.0
2024-05-25,68,320.0
2024-05-26,79,318.0
