,Apprehension Date,Continent,arrests,week_rolling_avg
0,2024-10-01,Africa,9,
1,2024-10-01,Asia,16,
2,2024-10-01,Europe,2,
3,2024-10-01,North America,282,
4,2024-10-01,Oceania,2,
5,2024-10-01,South America,25,
6,2024-10-02,Africa,6,49.0
7,2024-10-02,Asia,13,49.0
8,2024-10-02,Europe,5,48.0
9,2024-10-02,North America,295,90.0
10,2024-10-02,Oceania,2,50.0
11,2024-10-02,South America,30,54.0
12,2024-10-03,Africa,3,51.0
13,2024-10-03,Asia,11,51.0
14,2024-10-03,Europe,3,50.0
15,2024-10-03,North America,276,89.0
16,2024-10-03,South America,35,51.0
17,2024-10-04,Africa,2,51.0
18,2024-10-04,Asia,8,48.0
19,2024-10-04,Europe,7,49.0
20,2024-10-04,North America,266,85.0
21,2024-10-04,South America,47,92.0
22,2024-10-05,Africa,1,52.0
23,2024-10-05,Asia,2,48.0
24,2024-10-05,Europe,1,47.0
25,2024-10-05,North America,47,53.0
26,2024-10-05,South America,15,54.0
27,2024-10-06,Africa,3,17.0
28,2024-10-06,North America,44,16.0
29,2024-10-06,South America,14,18.0
30,2024-10-07,Africa,1,18.0
31,2024-10-07,Asia,3,18.0
32,2024-10-07,Europe,8,13.0
33,2024-10-07,North America,258,47.0
34,2024-10-07,Oceania,2,47.0
35,2024-10-07,South America,49,48.0
36,2024-10-08,Africa,6,47.0
37,2024-10-08,Asia,9,48.0
38,2024-10-08,Europe,4,48.0
39,2024-10-08,North America,282,87.0
40,2024-10-08,South America,40,56.0
41,2024-10-09,Africa,8,57.0
42,2024-10-09,Asia,19,53.0
43,2024-10-09,Europe,7,53.0
44,2024-10-09,North America,275,91.0
45,2024-10-09,Oceania,2,90.0
46,2024-10-09,South America,40,56.0
47,2024-10-10,Africa,7,51.0
48,2024-10-10,Asia,11,52.0
49,2024-10-10,Europe,7,50.0
50,2024-10-10,North America,303,92.0
51,2024-10-10,South America,35,58.0
52,2024-10-11,Africa,4,58.0
