Citizenship Country,Arrests,Percentage
Mexico,79764,37.8
Guatemala,30176,14.3
Honduras,23749,11.25
Venezuela,14120,6.69
El Salvador,10172,4.82
Nicaragua,6925,3.28
Colombia,6591,3.12
Ecuador,5707,2.7
Cuba,5443,2.58
Dominican Republic,2990,1.42
Brazil,2969,1.41
Peru,2522,1.2
"China, Peoples Republic Of",1981,0.94
India,1906,0.9
Haiti,1207,0.57
Vietnam,943,0.45
Jamaica,940,0.45
Romania,721,0.34
Russia,642,0.3
Bolivia,496,0.24
Turkiye,492,0.23
Chile,392,0.19
Iran,385,0.18
Mauritania,345,0.16
Laos,336,0.16
South Korea,335,0.16
Nigeria,316,0.15
Senegal,297,0.14
Uzbekistan,284,0.13
Egypt,266,0.13
Nepal,236,0.11
Jordan,234,0.11
Afghanistan,206,0.1
Costa Rica,203,0.1
Spain,202,0.1
Bahamas,201,0.1
Guinea,196,0.09
United Kingdom,183,0.09
Cameroon,180,0.09
Pakistan,180,0.09
Georgia,180,0.09
Ghana,172,0.08
Canada,160,0.08
Bangladesh,148,0.07
Philippines,144,0.07
Argentina,138,0.07
Belize,136,0.06
Ukraine,125,0.06
Somalia,114,0.05
Burma,110,0.05
