detention_facility_codes_all,stay_book_in_date_time,stay_ID,gender,birth_year,ethnicity,departed_date,departure_country,citizenship_country,unique_identifier,book_in_date_time_first,book_out_date_time_last,stay_book_out_date_time,final_program,Age,stay_days
WLTSOFL; TALHOLD; FLBAKCI,2017-07-26 09:55:00+00:00,e9d8fa8044ff5ba18ed9b961d1859d3986e32746_2017-07-26 09:55:00,Male,2000,,2025-11-26,GUATEMALA,GUATEMALA,e9d8fa8044ff5ba18ed9b961d1859d3986e32746,2025-11-10 09:01:00+00:00,2025-11-26 14:54:00+00:00,2025-11-26 14:54:00+00:00,Border Patrol,17,16
PHOHOLD; NRJDCVA,2021-10-13 16:15:00+00:00,5e5b3aa8382685c34fa350f11c1937c6a4cfcc80_2021-10-13 16:15:00,Male,2005,Hispanic Origin,2023-03-08,MEXICO,MEXICO,5e5b3aa8382685c34fa350f11c1937c6a4cfcc80,2022-10-04 23:45:00+00:00,2022-10-10 14:00:00+00:00,2023-03-08 13:23:00+00:00,Juvenile,16,5
HOUHOLD,2021-12-23 20:00:00+00:00,d64eec2bef2caa6badf0fe61a3a926edc0821bbc_2021-12-23 20:00:00,Male,2013,,2023-07-19,HONDURAS,HONDURAS,d64eec2bef2caa6badf0fe61a3a926edc0821bbc,2023-07-17 07:21:00+00:00,2023-07-18 09:45:00+00:00,2023-07-18 19:46:00+00:00,Border Patrol,8,1
ABQHOLD,2022-01-10 13:21:00+00:00,4a8c6c109aded317d613b443368eeae1cca67bb6_2022-01-10 13:21:00,Female,2020,,,,CHILE,4a8c6c109aded317d613b443368eeae1cca67bb6,2022-01-12 16:11:00+00:00,2022-10-03 16:42:00+00:00,2022-10-03 16:42:00+00:00,Border Patrol,2,266
PHOHOLD,2022-02-06 11:25:00+00:00,1a03d3b4477e09a395b7e33796b654e4bbd42630_2022-02-06 11:25:00,Male,2009,,2022-10-19,GUATEMALA,GUATEMALA,1a03d3b4477e09a395b7e33796b654e4bbd42630,2022-10-18 19:30:00+00:00,2022-10-19 04:40:00+00:00,2022-10-19 04:40:00+00:00,Border Patrol,13,1
PHOHOLD,2022-04-09 16:00:00+00:00,b8746f6dea9a45a8ffca385f8843c6d24314daea_2022-04-09 16:00:00,Male,2006,,2022-10-03,MEXICO,MEXICO,b8746f6dea9a45a8ffca385f8843c6d24314daea,2022-10-02 21:00:00+00:00,2022-10-03 09:30:00+00:00,2022-10-03 09:30:00+00:00,Border Patrol,16,1
SNDHOLD,2022-04-15 08:20:00+00:00,919dfa20eb190e44cdbfa6a17c586c4001f4bfee_2022-04-15 08:20:00,Female,2010,,2023-07-25,MEXICO,MEXICO,919dfa20eb190e44cdbfa6a17c586c4001f4bfee,2023-07-25 07:57:00+00:00,2023-07-25 09:00:00+00:00,2023-07-25 12:40:00+00:00,Inspections - Land,12,1
PHOHOLD; PHOHOLD,2022-05-29 03:27:00+00:00,73d32ea66ed2d5e469c1d1fbea1a9be0ec04b560_2022-05-29 03:27:00,Female,2005,,2023-03-03,GUATEMALA,GUATEMALA,73d32ea66ed2d5e469c1d1fbea1a9be0ec04b560,2023-02-28 19:50:00+00:00,2023-03-03 06:45:00+00:00,2023-03-03 06:45:00+00:00,Border Patrol,17,1
LOSHOLD,2022-06-23 06:40:00+00:00,b23fbd0bd2f8cd2383549fed46e3d6e6c260656d_2022-06-23 06:40:00,Female,2005,,,,NICARAGUA,b23fbd0bd2f8cd2383549fed46e3d6e6c260656d,2022-07-17 11:54:00+00:00,2022-10-09 09:55:00+00:00,2022-10-09 09:55:00+00:00,Border Patrol,17,84
PHOHOLD,2022-07-26 08:20:00+00:00,a73855920c45d175428049f8a36b998d60d4871d_2022-07-26 08:20:00,Male,2009,,2022-10-25,MEXICO,MEXICO,a73855920c45d175428049f8a36b998d60d4871d,2022-10-24 20:25:00+00:00,2022-10-25 06:35:00+00:00,2022-10-25 06:35:00+00:00,Border Patrol,13,1
PHOHOLD; IWAHOLD,2022-08-29 09:25:00+00:00,598ccd746c4e308d0694216b053d47130691eb7f_2022-08-29 09:25:00,Female,2008,,2023-01-11,GUATEMALA,GUATEMALA,598ccd746c4e308d0694216b053d47130691eb7f,2023-01-10 17:05:00+00:00,2023-01-11 20:01:00+00:00,2023-01-11 20:01:00+00:00,Border Patrol,14,1
PHOHOLD,2022-09-12 14:07:00+00:00,21b13c8df42aa1c0280f0b2b24629a3b4af87871_2022-09-12 14:07:00,Male,2007,,2023-06-21,GUATEMALA,GUATEMALA,21b13c8df42aa1c0280f0b2b24629a3b4af87871,2023-06-20 19:15:00+00:00,2023-06-21 05:05:00+00:00,2023-06-21 05:05:00+00:00,Border Patrol,15,1
PITHOLD,2022-09-13 10:35:00+00:00,f9b29f6b53f6364c61e3b8a852668bf1f1c9b754_2022-09-13 10:35:00,Female,2007,,,,GUATEMALA,f9b29f6b53f6364c61e3b8a852668bf1f1c9b754,2023-10-07 19:00:00+00:00,2023-10-08 16:00:00+00:00,2024-04-18 13:01:00+00:00,Detained Docket Control,15,1
PIC; PIC,2022-09-29 17:51:00+00:00,defd3158cbfac5b2e2ccbd4017c4ab9981b2510f_2022-09-29 17:51:00,Male,2005,,,,GUATEMALA,defd3158cbfac5b2e2ccbd4017c4ab9981b2510f,2022-09-30 01:18:00+00:00,2022-10-14 22:25:00+00:00,2022-11-02 10:56:00+00:00,ERO Criminal Alien Program,17,15
PIC,2022-09-29 17:52:00+00:00,a07921bafd13b64ae093ddfef626a93ee3fa7d63_2022-09-29 17:52:00,Male,2005,,,,EL SALVADOR,a07921bafd13b64ae093ddfef626a93ee3fa7d63,2022-09-30 01:18:00+00:00,2022-10-04 13:58:00+00:00,2022-11-11 12:23:00+00:00,Border Patrol,17,5
PHOHOLD,2022-09-30 22:30:00+00:00,017d7c1fbc277037e94840844f4f34c5b3f39ea6_2022-09-30 22:30:00,Female,2014,,,,ECUADOR,017d7c1fbc277037e94840844f4f34c5b3f39ea6,2022-09-30 22:30:00+00:00,2022-10-01 07:45:00+00:00,2022-10-01 07:45:00+00:00,Border Patrol,8,1
PHOHOLD,2022-09-30 22:30:00+00:00,04cbc5f2168cbea49a405e6f12f1e7aa4dcc8064_2022-09-30 22:30:00,Female,2012,,,,CUBA,04cbc5f2168cbea49a405e6f12f1e7aa4dcc8064,2022-09-30 22:30:00+00:00,2022-10-01 07:45:00+00:00,2022-10-01 07:45:00+00:00,Border Patrol,10,1
