date,children_detained,rolling_avg_7d
2024-07-20 00:00:00+00:00,267,
2024-07-21 00:00:00+00:00,260,
2024-07-22 00:00:00+00:00,279,268.7
2024-07-23 00:00:00+00:00,274,270.0
2024-07-24 00:00:00+00:00,279,271.8
2024-07-25 00:00:00+00:00,271,271.7
2024-07-26 00:00:00+00:00,253,269.0
2024-07-27 00:00:00+00:00,256,267.4
2024-07-28 00:00:00+00:00,257,267.0
2024-07-29 00:00:00+00:00,261,264.4
2024-07-30 00:00:00+00:00,278,265.0
2024-07-31 00:00:00+00:00,281,265.3
2024-08-01 00:00:00+00:00,280,266.6
2024-08-02 00:00:00+00:00,266,268.4
2024-08-03 00:00:00+00:00,268,270.1
2024-08-04 00:00:00+00:00,272,272.3
2024-08-05 00:00:00+00:00,271,273.7
2024-08-06 00:00:00+00:00,278,273.7
2024-08-07 00:00:00+00:00,282,273.9
2024-08-08 00:00:00+00:00,277,273.4
2024-08-09 00:00:00+00:00,273,274.4
2024-08-10 00:00:00+00:00,271,274.9
2024-08-11 00:00:00+00:00,269,274.4
2024-08-12 00:00:00+00:00,281,275.9
2024-08-13 00:00:00+00:00,293,278.0
2024-08-14 00:00:00+00:00,283,278.1
2024-08-15 00:00:00+00:00,279,278.4
2024-08-16 00:00:00+00:00,271,278.1
2024-08-17 00:00:00+00:00,271,278.1
2024-08-18 00:00:00+00:00,265,277.6
2024-08-19 00:00:00+00:00,265,275.3
2024-08-20 00:00:00+00:00,269,271.9
2024-08-21 00:00:00+00:00,285,272.1
2024-08-22 00:00:00+00:00,283,272.7
2024-08-23 00:00:00+00:00,280,274.0
2024-08-24 00:00:00+00:00,276,274.7
2024-08-25 00:00:00+00:00,285,277.6
2024-08-26 00:00:00+00:00,295,281.9
2024-08-27 00:00:00+00:00,293,285.3
2024-08-28 00:00:00+00:00,305,288.1
2024-08-29 00:00:00+00:00,306,291.4
2024-08-30 00:00:00+00:00,301,294.4
2024-08-31 00:00:00+00:00,301,298.0
2024-09-01 00:00:00+00:00,281,297.4
