child_stay_id,age,gender,citizenship,initial_facility,all_facilities,detention_days,num_transfers,num_potential_parents,separation_status,avg_shared_facilities,avg_separation_days
0001ae92b49f7381b70d8dd17371a14c38a0d614_2023-09-13 23:35:00,6,Female,GUATEMALA,PHOHOLD,PHOHOLD,0.3506944444444444,1,4,Stayed Together,1.0,0.0
0007451bfdbe5f169b7ad25da81071be2a733492_2025-03-22 12:10:00,12,Female,BRAZIL,KRNRCTX,KRNRCTX,4.238194444444445,1,2,Stayed Together,1.0,0.0
00074630bc12bbc15e1a66975d557461a81af316_2024-04-22 09:16:00,16,Female,COLOMBIA,TAMHOLD,TAMHOLD,0.0006944444444444445,1,1,Unclear - Need More Data,1.0,0.0020833333333333333
0011e9f4d6a1ad0654bc3459d087447eede67620_2024-12-03 09:03:00,3,Female,GUATEMALA,MLJHOLD,MLJHOLD,0.041666666666666664,1,1,Stayed Together,1.0,0.0
0025c615d8540b0c8518a8eadc7867e1b304808b_2025-03-08 09:00:00,14,Male,UZBEKISTAN,SNDHOLD,SNDHOLD,0.04097222222222222,1,1,Stayed Together,1.0,0.0
0025d09a716e60c9803f702f89071524a5ca5c6f_2024-06-03 11:42:00,7,Female,PERU,NYCHOLD,NYCHOLD,0.0,1,2,Unclear - Need More Data,1.0,0.008333333333333333
002ca6316836d8de5a08bec47135d312491ac519_2024-04-16 12:25:00,8,Male,ECUADOR,NYCHOLD,NYCHOLD,0.13125,1,7,Unclear - Need More Data,0.8571428571428571,6.9998015873015875
003bb046e0f90c441a3f69899b358e82b77ec4dc_2024-09-30 09:40:00,13,Male,HONDURAS,SAAHOLD,SAAHOLD,0.12986111111111112,1,1,Unclear - Need More Data,1.0,0.001388888888888889
003bb046e0f90c441a3f69899b358e82b77ec4dc_2024-12-03 08:37:00,13,Male,HONDURAS,SAAHOLD,SAAHOLD,0.16180555555555556,1,1,Unclear - Need More Data,1.0,0.0
004e37f88dfb7f652991d0bbad557f4f1def0f91_2024-12-12 08:23:00,3,Male,HONDURAS,BOSHOLD,BOSHOLD,0.0006944444444444445,1,1,Unclear - Need More Data,1.0,0.0
00557f574a7be1d6b697f869632428986bc11161_2025-10-01 11:25:00,15,Male,COLOMBIA,BIINCCO,BIINCCO,0.04097222222222222,1,1,Stayed Together,1.0,0.0
0063efac35ee8a00573bae66351c63a2afe7823e_2024-05-09 08:06:00,7,Female,ECUADOR,CHIHOLD,CHIHOLD,0.02638888888888889,1,2,Unclear - Need More Data,1.0,0.0
006c9b9d92d5fe36c28c59c76a14f037c29b2a29_2024-03-28 08:48:00,9,Male,MEXICO,DALHOLD,DALHOLD,0.04097222222222222,1,11,Separated - Different Facilities,0.18181818181818182,5.605113636363637
00761c327a2742ec54c69ee9cc905823a5c70183_2025-06-17 12:30:00,8,Female,COLOMBIA,DENHOLD,DENHOLD; STFRCTX,71.49097222222223,2,1,Unclear - Need More Data,1.0,0.0
0078441bdfe9878386340c95826254060ba22502_2025-02-11 09:00:00,16,Female,COLOMBIA,SEAHOLD,SEAHOLD,0.07222222222222222,1,2,Stayed Together,1.0,0.0
007ac5c6216ccd04c70446a2c6b349aeb3ff2cb9_2024-12-17 11:05:00,12,Male,EL SALVADOR,LOSHOLD,LOSHOLD,0.04097222222222222,1,2,Stayed Together,1.0,0.0
