state,district,statedistrict,pvi,year,Full Name,last_name,party
AK,AL,AK-AL,8,2024,Nicholas J. Begich III,Begich,Republican
AL,4,AL-4,33,2024,Robert B. Aderholt,Aderholt,Republican
AL,2,AL-2,17,2024,Shomari Figures,Figures,Democrat
AL,1,AL-1,16,2024,Barry Moore,Moore,Republican
AL,6,AL-6,18,2024,Gary J. Palmer,Palmer,Republican
AL,3,AL-3,19,2024,Mike Rogers,Rogers,Republican
AL,7,AL-7,-14,2024,Terri A. Sewell,Sewell,Democrat
AL,5,AL-5,17,2024,Dale W. Strong,Strong,Republican
AR,1,AR-1,22,2024,"Eric A. ""Rick"" Crawford",Crawford,Republican
AR,2,AR-2,9,2024,J. French Hill,Hill,Republican
AR,4,AR-4,20,2024,Bruce Westerman,Westerman,Republican
AR,3,AR-3,15,2024,Steve Womack,Womack,Republican
AZ,4,AZ-4,-2,2024,Yassamin Ansari,Ansari,Democrat
AZ,6,AZ-6,3,2024,Andy Biggs,Biggs,Republican
AZ,7,AZ-7,-15,2024,Juan Ciscomani,Ciscomani,Republican
AZ,3,AZ-3,-24,2024,Elijah Crane,Crane,Republican
AZ,9,AZ-9,16,2024,Paul A. Gosar,Gosar,Republican
AZ,8,AZ-8,10,2024,Abraham J. Hamadeh,Hamadeh,Republican
AZ,1,AZ-1,2,2024,Raul Grijalva,Grijalva,Democrat
AZ,2,AZ-2,6,2024,David Schweikert,Schweikert,Republican
AZ,5,AZ-5,11,2024,Greg Stanton,Stanton,Democrat
CA,33,CA-33,-12,2024,Pete Aguilar,Aguilar,Democrat
CA,44,CA-44,-24,2024,Nanette Diaz Barragan,Barragan,Democrat
CA,6,CA-6,-7,2024,Ami Bera,Bera,Democrat
CA,26,CA-26,-8,2024,Julia Brownley,Brownley,Democrat
CA,41,CA-41,3,2024,Ken Calvert,Calvert,Republican
CA,24,CA-24,-13,2024,Salud O. Carbajal,Carbajal,Democrat
CA,28,CA-28,-16,2024,Judy Chu,Chu,Democrat
CA,31,CA-31,-15,2024,"Gilbert Ray Cisneros, Jr.",Cisneros,Democrat
CA,46,CA-46,-15,2024,J. Luis Correa,Correa,Democrat
CA,21,CA-21,-9,2024,Jim Costa,Costa,Democrat
CA,10,CA-10,-18,2024,Mark DeSaulnier,DeSaulnier,Democrat
CA,20,CA-20,16,2024,Vince Fong,Fong,Republican
CA,30,CA-30,-23,2024,Laura Friedman,Friedman,Democrat
CA,8,CA-8,-26,2024,John Garamendi,Garamendi,Democrat
CA,42,CA-42,-22,2024,Robert Garcia,Garcia,Democrat
CA,34,CA-34,-32,2024,Jimmy Gomez,Gomez,Democrat
CA,13,CA-13,-4,2024,Adam Gray,Gray,Democrat
CA,9,CA-9,-5,2024,Josh Harder,Harder,Democrat
CA,2,CA-2,-23,2024,Jared Huffman,Huffman,Democrat
CA,48,CA-48,9,2024,Darrell Issa,Issa,Republican
CA,51,CA-51,-12,2024,Sara Jacobs,Jacobs,Democrat
CA,37,CA-37,-37,2024,Sydney Kamlager-Dove,Kamlager-Dove,Democrat
CA,17,CA-17,-23,2024,Ro Khanna,Khanna,Democrat
CA,3,CA-3,4,2024,Kevin Kiley,Kiley,Republican
CA,40,CA-40,2,2024,Young Kim,Kim,Republican
CA,1,CA-1,12,2024,Doug LaMalfa,LaMalfa,Republican
CA,49,CA-49,-3,2024,Mike Levin,Levin,Democrat
CA,16,CA-16,-26,2024,Sam T. Liccardo,Liccardo,Democrat
CA,36,CA-36,-21,2024,Ted Lieu,Lieu,Democrat
CA,18,CA-18,-21,2024,Zoe Lofgren,Lofgren,Democrat
CA,7,CA-7,-17,2024,Doris O. Matsui,Matsui,Democrat
CA,5,CA-5,9,2024,Tom McClintock,McClintock,Republican
CA,47,CA-47,-3,2024,Dave Min,Min,Democrat
CA,15,CA-15,-28,2024,Kevin Mullin,Mullin,Democrat
CA,23,CA-23,8,2024,Jay Obernolte,Obernolte,Republican
CA,19,CA-19,-18,2024,Jimmy Panetta,Panetta,Democrat
CA,11,CA-11,-37,2024,Nancy Pelosi,Pelosi,Democrat
CA,50,CA-50,-14,2024,Scott H. Peters,Peters,Democrat
CA,29,CA-29,-26,2024,Luz M. Rivas,Rivas,Democrat
CA,25,CA-25,-6,2024,Raul Ruiz,Ruiz,Democrat
CA,38,CA-38,-14,2024,Linda T. Sanchez,Sanchez,Democrat
CA,32,CA-32,-20,2024,Brad Sherman,Sherman,Democrat
CA,12,CA-12,-40,2024,Lateefah Simon,Simon,Democrat
CA,14,CA-14,-22,2024,Eric Swalwell,Swalwell,Democrat
CA,39,CA-39,-12,2024,Mark Takano,Takano,Democrat
CA,4,CA-4,-17,2024,Mike Thompson,Thompson,Democrat
CA,35,CA-35,-13,2024,Norma J. Torres,Torres,Democrat
CA,45,CA-45,-2,2024,Derek Tran,Tran,Democrat
CA,22,CA-22,-5,2024,David G. Valadao,Valadao,Republican
CA,52,CA-52,-18,2024,Juan Vargas,Vargas,Democrat
CA,43,CA-43,-32,2024,Maxine Waters,Waters,Democrat
CA,27,CA-27,-4,2024,George Whitesides,Whitesides,Democrat
CO,4,CO-4,13,2024,Lauren Boebert,Boebert,Republican
CO,5,CO-5,9,2024,Jeff Crank,Crank,Republican
CO,6,CO-6,-9,2024,Jason Crow,Crow,Democrat
CO,1,CO-1,-29,2024,Diana DeGette,DeGette,Democrat
CO,8,CO-8,0,2024,Gabe Evans,Evans,Republican
CO,3,CO-3,7,2024,Jeff Hurd,Hurd,Republican
CO,2,CO-2,-17,2024,Joe Neguse,Neguse,Democrat
CO,7,CO-7,-4,2024,Brittany Pettersen,Pettersen,Democrat
CT,2,CT-2,-3,2024,Joe Courtney,Courtney,Democrat
CT,3,CT-3,-7,2024,Rosa L. DeLauro,DeLauro,Democrat
CT,5,CT-5,-3,2024,Jahana Hayes,Hayes,Democrat
CT,4,CT-4,-13,2024,James A. Himes,Himes,Democrat
