aor_nam,count,id
"Atlanta",18449,"ATL"
"Baltimore",4177,"BAL"
"Boston",7666,"BOS"
"Buffalo",2558,"BUF"
"Chicago",19730,"CHI"
"Dallas",24928,"DAL"
"Denver",5185,"DEN"
"Detroit",6047,"DET"
"El Paso",5117,"ELP"
"HQ",52,"HQ"
"Harlingen",12909,"HAR"
"Houston",23857,"HOU"
"Los Angeles",13678,"LOS"
"Miami",29133,"MIA"
"New Orleans",25541,"NEWO"
"New York City",8992,"NYC"
"Newark",9319,"NEW"
"Philadelphia",7026,"PHI"
"Phoenix",9198,"PHO"
"Salt Lake City",8431,"SAL"
"San Antonio",16581,"SANA"
"San Diego",2784,"SAND"
"San Francisco",5885,"SANF"
"Seattle",3996,"SEA"
"St Paul",6663,"STP"
"Washington",7844,"WAS"
