aor_nam,arrests,administration
Atlanta,11547,Trump 1.0
Baltimore,1279,Trump 1.0
Boston,2227,Trump 1.0
Buffalo,1139,Trump 1.0
Chicago,6724,Trump 1.0
Dallas,13086,Trump 1.0
Denver,2118,Trump 1.0
Detroit,2706,Trump 1.0
El Paso,1472,Trump 1.0
HQ,20,Trump 1.0
Houston,10412,Trump 1.0
Los Angeles,6484,Trump 1.0
Miami,5030,Trump 1.0
New Orleans,6552,Trump 1.0
New York City,2144,Trump 1.0
Newark,2522,Trump 1.0
Philadelphia,4053,Trump 1.0
Phoenix,4763,Trump 1.0
Salt Lake City,3903,Trump 1.0
San Antonio,6304,Trump 1.0
San Diego,3802,Trump 1.0
San Francisco,5528,Trump 1.0
Seattle,2474,Trump 1.0
St Paul,3225,Trump 1.0
Washington,3244,Trump 1.0
Atlanta,15287,Trump 2.0
Baltimore,3228,Trump 2.0
Boston,6941,Trump 2.0
Buffalo,2218,Trump 2.0
Chicago,13123,Trump 2.0
Dallas,17134,Trump 2.0
Denver,4002,Trump 2.0
Detroit,5106,Trump 2.0
El Paso,5966,Trump 2.0
HQ,93,Trump 2.0
Harlingen,9137,Trump 2.0
Houston,17002,Trump 2.0
Los Angeles,10658,Trump 2.0
Miami,23326,Trump 2.0
New Orleans,17393,Trump 2.0
New York City,5134,Trump 2.0
Newark,5976,Trump 2.0
Philadelphia,6262,Trump 2.0
Phoenix,7064,Trump 2.0
Salt Lake City,6264,Trump 2.0
San Antonio,11903,Trump 2.0
San Diego,5086,Trump 2.0
San Francisco,4559,Trump 2.0
Seattle,2895,Trump 2.0
St Paul,4979,Trump 2.0
Washington,8756,Trump 2.0
