Apprehension Date,Apprehension AOR,Administration,Type,Arrests,Week Rolling Average
2016-10-01,Atlanta,Trump 1,Convicted - Non-violent,1.0,1.0
2016-10-02,Atlanta,Trump 1,Convicted - Non-violent,2.0,1.5
2016-10-03,Atlanta,Trump 1,Convicted - Non-violent,15.0,6.0
2016-10-04,Atlanta,Trump 1,Convicted - Non-violent,21.0,9.75
2016-10-05,Atlanta,Trump 1,Convicted - Non-violent,14.0,10.6
2016-10-06,Atlanta,Trump 1,Convicted - Non-violent,3.0,9.33
2016-10-07,Atlanta,Trump 1,Convicted - Non-violent,10.0,9.43
2016-10-08,Atlanta,Trump 1,Convicted - Non-violent,4.0,9.86
2016-10-09,Atlanta,Trump 1,Convicted - Non-violent,1.0,9.71
2016-10-10,Atlanta,Trump 1,Convicted - Non-violent,6.0,8.43
2016-10-11,Atlanta,Trump 1,Convicted - Non-violent,20.0,8.29
2016-10-12,Atlanta,Trump 1,Convicted - Non-violent,19.0,9.0
2016-10-13,Atlanta,Trump 1,Convicted - Non-violent,28.0,12.57
2016-10-14,Atlanta,Trump 1,Convicted - Non-violent,22.0,14.29
2016-10-15,Atlanta,Trump 1,Convicted - Non-violent,4.0,14.29
2016-10-16,Atlanta,Trump 1,Convicted - Non-violent,3.0,14.57
2016-10-17,Atlanta,Trump 1,Convicted - Non-violent,22.0,16.86
2016-10-18,Atlanta,Trump 1,Convicted - Non-violent,22.0,17.14
2016-10-19,Atlanta,Trump 1,Convicted - Non-violent,24.0,17.86
2016-10-20,Atlanta,Trump 1,Convicted - Non-violent,21.0,16.86
2016-10-21,Atlanta,Trump 1,Convicted - Non-violent,18.0,16.29
2016-10-22,Atlanta,Trump 1,Convicted - Non-violent,4.0,16.29
2016-10-23,Atlanta,Trump 1,Convicted - Non-violent,4.0,16.43
2016-10-24,Atlanta,Trump 1,Convicted - Non-violent,18.0,15.86
2016-10-25,Atlanta,Trump 1,Convicted - Non-violent,23.0,16.0
2016-10-26,Atlanta,Trump 1,Convicted - Non-violent,21.0,15.57
2016-10-27,Atlanta,Trump 1,Convicted - Non-violent,11.0,14.14
2016-10-28,Atlanta,Trump 1,Convicted - Non-violent,6.0,12.43
2016-10-29,Atlanta,Trump 1,Convicted - Non-violent,2.0,12.14
2016-10-30,Atlanta,Trump 1,Convicted - Non-violent,5.0,12.29
2016-10-31,Atlanta,Trump 1,Convicted - Non-violent,16.0,12.0
2016-11-01,Atlanta,Trump 1,Convicted - Non-violent,15.0,10.86
2016-11-02,Atlanta,Trump 1,Convicted - Non-violent,30.0,12.14
2016-11-03,Atlanta,Trump 1,Convicted - Non-violent,25.0,14.14
2016-11-04,Atlanta,Trump 1,Convicted - Non-violent,12.0,15.0
2016-11-05,Atlanta,Trump 1,Convicted - Non-violent,3.0,15.14
2016-11-06,Atlanta,Trump 1,Convicted - Non-violent,0.0,14.43
2016-11-07,Atlanta,Trump 1,Convicted - Non-violent,19.0,14.86
2016-11-08,Atlanta,Trump 1,Convicted - Non-violent,27.0,16.57
2016-11-09,Atlanta,Trump 1,Convicted - Non-violent,26.0,16.0
2016-11-10,Atlanta,Trump 1,Convicted - Non-violent,12.0,14.14
2016-11-11,Atlanta,Trump 1,Convicted - Non-violent,1.0,12.57
2016-11-12,Atlanta,Trump 1,Convicted - Non-violent,8.0,13.29
2016-11-13,Atlanta,Trump 1,Convicted - Non-violent,1.0,13.43
2016-11-14,Atlanta,Trump 1,Convicted - Non-violent,26.0,14.43
2016-11-15,Atlanta,Trump 1,Convicted - Non-violent,20.0,13.43
2016-11-16,Atlanta,Trump 1,Convicted - Non-violent,21.0,12.71
2016-11-17,Atlanta,Trump 1,Convicted - Non-violent,18.0,13.57
2016-11-18,Atlanta,Trump 1,Convicted - Non-violent,8.0,14.57
2016-11-19,Atlanta,Trump 1,Convicted - Non-violent,2.0,13.71
2016-11-20,Atlanta,Trump 1,Convicted - Non-violent,3.0,14.0
2016-11-21,Atlanta,Trump 1,Convicted - Non-violent,23.0,13.57
2016-11-22,Atlanta,Trump 1,Convicted - Non-violent,25.0,14.29
2016-11-23,Atlanta,Trump 1,Convicted - Non-violent,9.0,12.57
2016-11-24,Atlanta,Trump 1,Convicted - Non-violent,0.0,10.0
2016-11-25,Atlanta,Trump 1,Convicted - Non-violent,7.0,9.86
2016-11-26,Atlanta,Trump 1,Convicted - Non-violent,0.0,9.57
2016-11-27,Atlanta,Trump 1,Convicted - Non-violent,1.0,9.29
2016-11-28,Atlanta,Trump 1,Convicted - Non-violent,21.0,9.0
2016-11-29,Atlanta,Trump 1,Convicted - Non-violent,25.0,9.0
2016-11-30,Atlanta,Trump 1,Convicted - Non-violent,13.0,9.57
2016-12-01,Atlanta,Trump 1,Convicted - Non-violent,10.0,11.0
2016-12-02,Atlanta,Trump 1,Convicted - Non-violent,10.0,11.43
2016-12-03,Atlanta,Trump 1,Convicted - Non-violent,3.0,11.86
2016-12-04,Atlanta,Trump 1,Convicted - Non-violent,9.0,13.0
2016-12-05,Atlanta,Trump 1,Convicted - Non-violent,13.0,11.86
2016-12-06,Atlanta,Trump 1,Convicted - Non-violent,23.0,11.57
2016-12-07,Atlanta,Trump 1,Convicted - Non-violent,40.0,15.43
2016-12-08,Atlanta,Trump 1,Convicted - Non-violent,27.0,17.86
2016-12-09,Atlanta,Trump 1,Convicted - Non-violent,16.0,18.71
2016-12-10,Atlanta,Trump 1,Convicted - Non-violent,4.0,18.86
2016-12-11,Atlanta,Trump 1,Convicted - Non-violent,2.0,17.86
2016-12-12,Atlanta,Trump 1,Convicted - Non-violent,14.0,18.0
2016-12-13,Atlanta,Trump 1,Convicted - Non-violent,20.0,17.57
2016-12-14,Atlanta,Trump 1,Convicted - Non-violent,22.0,15.0
2016-12-15,Atlanta,Trump 1,Convicted - Non-violent,16.0,13.43
2016-12-16,Atlanta,Trump 1,Convicted - Non-violent,12.0,12.86
2016-12-17,Atlanta,Trump 1,Convicted - Non-violent,4.0,12.86
2016-12-18,Atlanta,Trump 1,Convicted - Non-violent,4.0,13.14
2016-12-19,Atlanta,Trump 1,Convicted - Non-violent,15.0,13.29
2016-12-20,Atlanta,Trump 1,Convicted - Non-violent,25.0,14.0
2016-12-21,Atlanta,Trump 1,Convicted - Non-violent,24.0,14.29
2016-12-22,Atlanta,Trump 1,Convicted - Non-violent,20.0,14.86
2016-12-23,Atlanta,Trump 1,Convicted - Non-violent,7.0,14.14
2016-12-24,Atlanta,Trump 1,Convicted - Non-violent,2.0,13.86
2016-12-25,Atlanta,Trump 1,Convicted - Non-violent,1.0,13.43
2016-12-26,Atlanta,Trump 1,Convicted - Non-violent,0.0,11.29
2016-12-27,Atlanta,Trump 1,Convicted - Non-violent,19.0,10.43
2016-12-28,Atlanta,Trump 1,Convicted - Non-violent,17.0,9.43
2016-12-29,Atlanta,Trump 1,Convicted - Non-violent,13.0,8.43
2016-12-30,Atlanta,Trump 1,Convicted - Non-violent,12.0,9.14
2016-12-31,Atlanta,Trump 1,Convicted - Non-violent,0.0,8.86
2017-01-01,Atlanta,Trump 1,Convicted - Non-violent,3.0,9.14
2017-01-02,Atlanta,Trump 1,Convicted - Non-violent,2.0,9.43
2017-01-03,Atlanta,Trump 1,Convicted - Non-violent,14.0,8.71
2017-01-04,Atlanta,Trump 1,Convicted - Non-violent,13.0,8.14
2017-01-05,Atlanta,Trump 1,Convicted - Non-violent,15.0,8.43
2017-01-06,Atlanta,Trump 1,Convicted - Non-violent,13.0,8.57
2017-01-07,Atlanta,Trump 1,Convicted - Non-violent,2.0,8.86
2017-01-08,Atlanta,Trump 1,Convicted - Non-violent,1.0,8.57
2017-01-09,Atlanta,Trump 1,Convicted - Non-violent,20.0,11.14
2017-01-10,Atlanta,Trump 1,Convicted - Non-violent,25.0,12.71
