apprehension_date,apprehension_state,apprehension_aor,location
2023-09-01,CALIFORNIA,San Francisco Area of Responsibility,San Francisco
2023-09-01,SOUTH CAROLINA,Atlanta Area of Responsibility,Atlanta
2023-09-01,,,#VALUE!
2023-09-01,,,#VALUE!
2023-09-01,,Phoenix Area of Responsibility,Phoenix
2023-09-01,,,#VALUE!
2023-09-01,,,#VALUE!
2023-09-01,,,#VALUE!
2023-09-01,,,#VALUE!
2023-09-01,,,#VALUE!
2023-09-01,,,#VALUE!
2023-09-01,,Miami Area of Responsibility,Miami
2023-09-01,,New Orleans Area of Responsibility,New Orleans
2023-09-01,TEXAS,Houston Area of Responsibility,Houston
2023-09-01,,Salt Lake City Area of Responsibility,Salt Lake City
2023-09-01,TEXAS,Dallas Area of Responsibility,Dallas
2023-09-01,,Dallas Area of Responsibility,Dallas
2023-09-01,TEXAS,Dallas Area of Responsibility,Dallas
2023-09-01,TEXAS,Dallas Area of Responsibility,Dallas
2023-09-01,,Dallas Area of Responsibility,Dallas
2023-09-01,,Dallas Area of Responsibility,Dallas
2023-09-01,TEXAS,Dallas Area of Responsibility,Dallas
2023-09-01,,Dallas Area of Responsibility,Dallas
2023-09-01,,,#VALUE!
2023-09-01,,,#VALUE!
2023-09-01,,,#VALUE!
2023-09-01,,,#VALUE!
2023-09-01,TEXAS,Dallas Area of Responsibility,Dallas
2023-09-01,TEXAS,Dallas Area of Responsibility,Dallas
2023-09-01,TEXAS,San Antonio Area of Responsibility,San Antonio
2023-09-01,TEXAS,Houston Area of Responsibility,Houston
2023-09-01,,Dallas Area of Responsibility,Dallas
2023-09-01,,Dallas Area of Responsibility,Dallas
2023-09-01,NEW YORK,Buffalo Area of Responsibility,Buffalo
2023-09-01,NEW YORK,Buffalo Area of Responsibility,Buffalo
2023-09-01,TEXAS,San Antonio Area of Responsibility,San Antonio
2023-09-01,IOWA,St. Paul Area of Responsibility,St. Paul
2023-09-01,SOUTH CAROLINA,Atlanta Area of Responsibility,Atlanta
2023-09-01,,Dallas Area of Responsibility,Dallas
2023-09-01,GEORGIA,Atlanta Area of Responsibility,Atlanta
2023-09-01,NEW YORK,New York City Area of Responsibility,New York City
2023-09-01,TEXAS,San Antonio Area of Responsibility,San Antonio
2023-09-01,,Houston Area of Responsibility,Houston
2023-09-01,,Miami Area of Responsibility,Miami
2023-09-01,,Dallas Area of Responsibility,Dallas
2023-09-01,,Dallas Area of Responsibility,Dallas
2023-09-01,TEXAS,Dallas Area of Responsibility,Dallas
2023-09-01,TEXAS,San Antonio Area of Responsibility,San Antonio
2023-09-01,TEXAS,Dallas Area of Responsibility,Dallas
2023-09-01,CALIFORNIA,Los Angeles Area of Responsibility,Los Angeles
2023-09-01,WASHINGTON,Seattle Area of Responsibility,Seattle
2023-09-01,,Dallas Area of Responsibility,Dallas
