Apprehension AOR,weeks_since_inauguration,arrests
Atlanta,-15,121
Atlanta,-14,110
Atlanta,-13,125
Atlanta,-12,143
Atlanta,-11,138
Atlanta,-10,110
Atlanta,-9,146
Atlanta,-8,131
Atlanta,-7,100
Atlanta,-6,125
Atlanta,-5,136
Atlanta,-4,117
Atlanta,-3,63
Atlanta,-2,79
Atlanta,-1,104
Atlanta,0,350
Atlanta,1,306
Atlanta,2,296
Atlanta,3,343
Atlanta,4,316
Atlanta,5,360
Atlanta,6,410
Atlanta,7,400
Atlanta,8,338
Atlanta,9,315
Atlanta,10,358
Atlanta,11,303
Atlanta,12,287
Atlanta,13,365
Atlanta,14,291
Atlanta,15,293
Atlanta,16,513
Atlanta,17,406
Atlanta,18,461
Atlanta,19,554
Atlanta,20,478
Atlanta,21,419
Atlanta,22,362
Atlanta,23,393
Atlanta,24,435
Atlanta,25,420
Atlanta,26,425
Atlanta,27,377
Atlanta,28,448
Atlanta,29,379
Atlanta,30,381
Atlanta,31,449
Atlanta,32,640
Atlanta,33,500
Atlanta,34,439
Atlanta,35,446
Atlanta,36,448
Atlanta,37,405
Atlanta,38,203
Baltimore,-15,41
Baltimore,-14,22
Baltimore,-13,34
Baltimore,-12,30
Baltimore,-11,28
Baltimore,-10,24
Baltimore,-9,34
Baltimore,-8,36
Baltimore,-7,18
Baltimore,-6,28
Baltimore,-5,12
Baltimore,-4,34
Baltimore,-3,7
Baltimore,-2,13
Baltimore,-1,20
Baltimore,0,100
Baltimore,1,82
Baltimore,2,74
Baltimore,3,52
Baltimore,4,74
Baltimore,5,92
Baltimore,6,62
Baltimore,7,78
Baltimore,8,99
Baltimore,9,59
Baltimore,10,57
Baltimore,11,62
Baltimore,12,43
Baltimore,13,38
Baltimore,14,65
Baltimore,15,74
Baltimore,16,73
Baltimore,17,94
Baltimore,18,130
Baltimore,19,145
Baltimore,20,118
Baltimore,21,81
Baltimore,22,99
Baltimore,23,70
Baltimore,24,120
Baltimore,25,78
Baltimore,26,103
Baltimore,27,90
Baltimore,28,125
Baltimore,29,47
Baltimore,30,44
Baltimore,31,50
Baltimore,32,98
Baltimore,33,96
Baltimore,34,95
Baltimore,35,131
Baltimore,36,102
Baltimore,37,95
Baltimore,38,31
Boston,-15,23
Boston,-14,37
Boston,-13,42
Boston,-12,33
Boston,-11,48
Boston,-10,29
Boston,-9,51
Boston,-8,52
Boston,-7,28
Boston,-6,49
Boston,-5,49
Boston,-4,44
Boston,-3,26
Boston,-2,29
Boston,-1,44
Boston,0,116
Boston,1,121
Boston,2,107
Boston,3,109
Boston,4,114
Boston,5,117
Boston,6,139
Boston,7,117
Boston,8,361
Boston,9,75
Boston,10,83
Boston,11,89
Boston,12,72
Boston,13,71
Boston,14,117
Boston,15,334
Boston,16,412
Boston,17,367
Boston,18,392
Boston,19,187
Boston,20,154
Boston,21,137
Boston,22,166
Boston,23,108
Boston,24,115
