weeks_since_jan20,arrests
-73,600
-72,2109
-71,2397
-70,2767
-69,2903
-68,2407
-67,2145
-66,2417
-65,2352
-64,2266
-63,2076
-62,2346
-61,1474
-60,2257
-59,2424
-58,2397
-57,3100
-56,1427
-55,1545
-54,2124
-53,1673
-52,2081
-51,2382
-50,2422
-49,2299
-48,2032
-47,2301
-46,2380
-45,2408
-44,2334
-43,2126
-42,2136
-41,2248
-40,2580
-39,2532
-38,2244
-37,2388
-36,2419
-35,2306
-34,1984
-33,2214
-32,2281
-31,1865
-30,2187
-29,1891
-28,2155
-27,2155
-26,2114
-25,2220
-24,2030
-23,2073
-22,2139
-21,2202
-20,1842
-19,2046
-18,2093
-17,2047
-16,2121
-15,2148
-14,1928
-13,2171
-12,2170
-11,2082
-10,1970
-9,2226
-8,1549
-7,2130
-6,2185
-5,2386
-4,1261
-3,1411
-2,1747
-1,2289
0,3209
1,5065
2,4257
3,4253
4,4041
5,4873
6,4432
7,4484
8,4479
9,4234
10,4089
11,4134
12,3865
13,4379
14,4061
15,4434
16,4975
17,5812
18,6115
19,8742
20,7297
21,6671
22,6525
23,5431
24,6401
25,5785
26,6270
27,6406
28,6548
29,6479
30,6878
31,6488
32,6944
33,7872
34,7937
35,7950
36,7779
37,7714
38,3623
