weeks_since_jan20,arrests,Administration
-16,1781,Trump 1.0
-15,1937,Trump 1.0
-14,2362,Trump 1.0
-13,2182,Trump 1.0
-12,2084,Trump 1.0
-11,2270,Trump 1.0
-10,1941,Trump 1.0
-9,1867,Trump 1.0
-8,1844,Trump 1.0
-7,2289,Trump 1.0
-6,2277,Trump 1.0
-5,2104,Trump 1.0
-4,1323,Trump 1.0
-3,1561,Trump 1.0
-2,2169,Trump 1.0
-1,1996,Trump 1.0
0,2356,Trump 1.0
1,2535,Trump 1.0
2,3197,Trump 1.0
3,2849,Trump 1.0
4,2419,Trump 1.0
5,2842,Trump 1.0
6,3163,Trump 1.0
7,2807,Trump 1.0
8,2827,Trump 1.0
9,3204,Trump 1.0
10,2975,Trump 1.0
11,2871,Trump 1.0
12,2936,Trump 1.0
13,2969,Trump 1.0
14,2830,Trump 1.0
15,2790,Trump 1.0
16,2963,Trump 1.0
17,3114,Trump 1.0
18,2602,Trump 1.0
19,3199,Trump 1.0
20,3133,Trump 1.0
21,2853,Trump 1.0
22,3140,Trump 1.0
23,2366,Trump 1.0
24,3157,Trump 1.0
25,3174,Trump 1.0
26,3669,Trump 1.0
27,3112,Trump 1.0
28,3084,Trump 1.0
29,3190,Trump 1.0
30,3136,Trump 1.0
31,2722,Trump 1.0
32,2517,Trump 1.0
33,3040,Trump 1.0
34,3135,Trump 1.0
35,3363,Trump 1.0
36,646,Trump 1.0
-73,600,Trump 2.0
-72,2109,Trump 2.0
-71,2397,Trump 2.0
-70,2767,Trump 2.0
-69,2903,Trump 2.0
-68,2407,Trump 2.0
-67,2145,Trump 2.0
-66,2417,Trump 2.0
-65,2352,Trump 2.0
-64,2266,Trump 2.0
-63,2076,Trump 2.0
-62,2346,Trump 2.0
-61,1474,Trump 2.0
-60,2257,Trump 2.0
-59,2424,Trump 2.0
-58,2397,Trump 2.0
-57,3100,Trump 2.0
-56,1427,Trump 2.0
-55,1545,Trump 2.0
-54,2124,Trump 2.0
-53,1673,Trump 2.0
-52,2081,Trump 2.0
-51,2382,Trump 2.0
-50,2422,Trump 2.0
-49,2299,Trump 2.0
-48,2032,Trump 2.0
-47,2301,Trump 2.0
-46,2380,Trump 2.0
-45,2408,Trump 2.0
-44,2334,Trump 2.0
-43,2126,Trump 2.0
-42,2136,Trump 2.0
-41,2248,Trump 2.0
-40,2580,Trump 2.0
-39,2532,Trump 2.0
-38,2244,Trump 2.0
-37,2388,Trump 2.0
-36,2419,Trump 2.0
-35,2306,Trump 2.0
-34,1984,Trump 2.0
-33,2214,Trump 2.0
-32,2281,Trump 2.0
-31,1865,Trump 2.0
-30,2187,Trump 2.0
-29,1891,Trump 2.0
-28,2155,Trump 2.0
-27,2155,Trump 2.0
-26,2114,Trump 2.0
-25,2220,Trump 2.0
-24,2030,Trump 2.0
-23,2073,Trump 2.0
-22,2139,Trump 2.0
-21,2202,Trump 2.0
-20,1842,Trump 2.0
-19,2046,Trump 2.0
-18,2093,Trump 2.0
-17,2047,Trump 2.0
-16,2121,Trump 2.0
-15,2148,Trump 2.0
-14,1928,Trump 2.0
-13,2171,Trump 2.0
-12,2170,Trump 2.0
-11,2082,Trump 2.0
-10,1970,Trump 2.0
-9,2226,Trump 2.0
-8,1549,Trump 2.0
-7,2130,Trump 2.0
-6,2185,Trump 2.0
-5,2386,Trump 2.0
-4,1261,Trump 2.0
-3,1411,Trump 2.0
-2,1747,Trump 2.0
-1,2289,Trump 2.0
0,3209,Trump 2.0
1,5065,Trump 2.0
2,4257,Trump 2.0
3,4253,Trump 2.0
4,4041,Trump 2.0
5,4873,Trump 2.0
6,4432,Trump 2.0
7,4484,Trump 2.0
8,4479,Trump 2.0
9,4234,Trump 2.0
10,4089,Trump 2.0
11,4134,Trump 2.0
12,3865,Trump 2.0
13,4379,Trump 2.0
14,4061,Trump 2.0
15,4434,Trump 2.0
16,4975,Trump 2.0
17,5812,Trump 2.0
18,6115,Trump 2.0
19,8742,Trump 2.0
20,7297,Trump 2.0
21,6671,Trump 2.0
22,6525,Trump 2.0
23,5431,Trump 2.0
24,6401,Trump 2.0
25,5785,Trump 2.0
26,6270,Trump 2.0
27,6406,Trump 2.0
28,6548,Trump 2.0
29,6479,Trump 2.0
30,6878,Trump 2.0
31,6488,Trump 2.0
32,6944,Trump 2.0
33,7872,Trump 2.0
34,7937,Trump 2.0
35,7950,Trump 2.0
36,7779,Trump 2.0
37,7714,Trump 2.0
38,3623,Trump 2.0
