Apprehension MonthYear,arrests,Administration
2016-10,9104,Trump 1.0
2016-11,8774,Trump 1.0
2016-12,8749,Trump 1.0
2017-01,9309,Trump 1.0
2017-02,11165,Trump 1.0
2017-03,13617,Trump 1.0
2017-04,11887,Trump 1.0
2017-05,13038,Trump 1.0
2017-06,13485,Trump 1.0
2017-07,13116,Trump 1.0
2017-08,13927,Trump 1.0
2017-09,12701,Trump 1.0
2023-09,10698,Trump 2.0
2023-10,10197,Trump 2.0
2023-11,9025,Trump 2.0
2023-12,9944,Trump 2.0
2024-01,8612,Trump 2.0
2024-02,9720,Trump 2.0
2024-03,9775,Trump 2.0
2024-04,10336,Trump 2.0
2024-05,10377,Trump 2.0
2024-06,8671,Trump 2.0
2024-07,9589,Trump 2.0
2024-08,9304,Trump 2.0
2024-09,8493,Trump 2.0
2024-10,9655,Trump 2.0
2024-11,8287,Trump 2.0
2024-12,8627,Trump 2.0
2025-01,12380,Trump 2.0
2025-02,17452,Trump 2.0
2025-03,18952,Trump 2.0
2025-04,17954,Trump 2.0
2025-05,22749,Trump 2.0
2025-06,30617,Trump 2.0
2025-07,27412,Trump 2.0
2025-08,28422,Trump 2.0
2025-09,33189,Trump 2.0
2025-10,16630,Trump 2.0
