view,characteristic,value,percentage,administration
gender,female,7422,0.06943976647580555,Trump 1.0
gender,male,99462,0.9305602335241945,Trump 1.0
gender,female,21906,0.10689608057464085,Trump 2.0
gender,male,183022,0.8931039194253592,Trump 2.0
age group,0-17,1637,0.01531796234607179,Trump 1.0
age group,18-24,18195,0.1702567653553917,Trump 1.0
age group,25-34,40151,0.37570647902084814,Trump 1.0
age group,35-44,30984,0.289927761350451,Trump 1.0
age group,45-54,12215,0.1142998839690085,Trump 1.0
age group,55-64,3173,0.02969083355167122,Trump 1.0
age group,65+,513,0.004800314406557623,Trump 1.0
age group,0-17,3719,0.018148102964499205,Trump 2.0
age group,18-24,36822,0.17968525070147615,Trump 2.0
age group,25-34,73210,0.35725265340978407,Trump 2.0
age group,35-44,55534,0.27099670611199217,Trump 2.0
age group,45-54,26870,0.13112114188117605,Trump 2.0
age group,55-64,7549,0.03683786751250458,Trump 2.0
age group,65+,1221,0.005958277418567769,Trump 2.0
criminality,Convicted,69277,0.6481512667939074,Trump 1.0
criminality,No Criminal Charges,12111,0.11330975637139329,Trump 1.0
criminality,Pending Charges,25496,0.2385389768346993,Trump 1.0
criminality,Convicted,75862,0.370188554028732,Trump 2.0
criminality,No Criminal Charges,67367,0.3287349703310431,Trump 2.0
criminality,Pending Charges,61699,0.3010764756402249,Trump 2.0
