NCIC Offense Code,Description of Crime,Type of Offense Code  V=violent  D=drug-related  Blank = nonviolent or not drug related
0101,TREASON,
0102,TREASON MISPRISION,
0103,ESPIONAGE,
0104,SABOTAGE,
0105,SEDITION,
0106,SELECTIVE SERVICE,
0199,SOVEREIGNTY,
0201,MILITARY DESERTION,
0299,MILITARY,
0301,ILLEGAL ENTRY,
0302,FALSE CITIZENSHIP,
0303,SMUGGLING ALIENS,
0399,IMMIGRATION,
0901,HOMICIDE - WILLFUL KILL-FAMILY-GUN,V
0902,HOMICIDE - WILLFUL KILL-FAMILY-WEAPON,V
0903,HOMICIDE - WILLFUL KILL-NONFAMILY-GUN,V
0904,HOMICIDE - WILLFUL KILL-NONFAMILY-WEAPON,V
0905,HOMICIDE - WILLFUL KILL-PUB OFF-GUN,V
0906,HOMICIDE - WILLFUL KILL-PUB OFF-WEAPON,V
0907,HOMICIDE - WILLFUL KILL -POL OFF-GUN,V
0908,HOMICIDE - WILLFUL KILL-POL OFF-WEAPON,V
0909,HOMICIDE - NEGLIG MANSL-VEH,V
0910,HOMICIDE - NEGLIG MANSL-WEAPON,V
0911,HOMICIDE -WILLFUL KILL-GUN,V
0912,HOMICIDE - WILLFUL KILL-WEAPON,V
0913,HOMICIDE - JOHN OR JANE DOE - NO WARRANT,V
0999,HOMICIDE,V
1001,KIDNAP MINOR FOR RANSOM,V
1002,KIDNAP ADULT FOR RANSOM,V
1003,KIDNAP MINOR TO SEXUALLY ASSLT,V
1004,KIDNAP ADULT TO SEXUALLY ASSLT,V
1005,KIDNAP MINOR,V
1006,KIDNAP ADULT,V
1007,KIDNAP HOSTAGE FOR ESCAPE,V
1008,ABDUCT - NO RANSOM OR ASSLT,V
1009,KIDNAP - HIJACK AIRCRAFT,V
1010,KIDNAP MINOR-PARENTAL,V
1011,KIDNAP MINOR-NONPARENTAL,V
1020,FALSE IMPRISONMENT-MINOR-NON PARENTAL,V
1021,FALSE IMPRISONMENT-MINOR-PARENTAL,V
1099,KIDNAPPING,V
1101,RAPE-GUN,V
1102,RAPE WITH WEAPON,V
1103,RAPE - STRONGARM,V
1104,SEX ASSLT - SODOMY-BOY-GUN,V
1105,SEX ASS LT - SODOMY-MAN-GUN,V
1106,SEX ASSLT - SODOMY-GIRL-GUN,V
1107,SEX ASSLT - SODOMY-WOMAN-GUN,V
1108,SEX ASSLT - SODOMY-BOY-WEAPON,V
1109,SEX ASSLT - SODOMY-MAN-WEAPON,V
1110,SEX ASSLT - SODOMY-GIRL-WEAPON,V
1111,SEX ASSLT - SODOMY-WOMAN-WEAPON,V
1112,SEX ASSLT - SODOMY-BOY-STGARM,V
1113,SEX ASSLT - SODOMY-MAN-STGARM,V
1114,SEX ASSLT - SODOMY-GIRL-STGARM,V
1115,SEX ASSLT - SODOMY-WOMAN-STGARM,V
1116,STAT RAPE - NO FORCE,V
1117,SEX ASSLT - CARNAL ABUSE,V
1118,RAPE - ELDERLY,V
1119,RAPE - DISABLED,V
1120,SEX ASSAULT -ELDERLY,V
1121,SEX - ASSAULT - DISABLED,V
1122,RAPE - DRUG INDUCED,V
1123,SEXUAL ASSAULT - DRUG INDUCED,V
1198,RAPE,V
1199,SEX ASSAULT,V
1201,ROBBERY BUSINESS-GUN,V
1202,ROBBERY - BUSINESS-WEAPON,V
1203,ROBBERY - BUSINESS-STGARM,V
1204,ROBBERY - STREET-GUN,V
