Apprehension Date,arrests,week_rolling_avg,Administration,days_since_jan20,Month_Day
2015-10-01,372,,Trump 1.0,-477,October 1
2015-10-02,368,,Trump 1.0,-476,October 2
2015-10-03,40,,Trump 1.0,-475,October 3
2015-10-04,39,,Trump 1.0,-474,October 4
2015-10-05,365,,Trump 1.0,-473,October 5
2015-10-06,392,,Trump 1.0,-472,October 6
2015-10-07,419,285.0,Trump 1.0,-471,October 7
2015-10-08,401,289.14285714285717,Trump 1.0,-470,October 8
2015-10-09,398,293.42857142857144,Trump 1.0,-469,October 9
2015-10-10,52,295.14285714285717,Trump 1.0,-468,October 10
2015-10-11,38,295.0,Trump 1.0,-467,October 11
2015-10-12,103,257.57142857142856,Trump 1.0,-466,October 12
2015-10-13,402,259.0,Trump 1.0,-465,October 13
2015-10-14,424,259.7142857142857,Trump 1.0,-464,October 14
2015-10-15,443,265.7142857142857,Trump 1.0,-463,October 15
2015-10-16,417,268.42857142857144,Trump 1.0,-462,October 16
2015-10-17,58,269.2857142857143,Trump 1.0,-461,October 17
2015-10-18,43,270.0,Trump 1.0,-460,October 18
2015-10-19,407,313.42857142857144,Trump 1.0,-459,October 19
2015-10-20,467,322.7142857142857,Trump 1.0,-458,October 20
2015-10-21,413,321.14285714285717,Trump 1.0,-457,October 21
2015-10-22,439,320.57142857142856,Trump 1.0,-456,October 22
2015-10-23,398,317.85714285714283,Trump 1.0,-455,October 23
2015-10-24,118,326.42857142857144,Trump 1.0,-454,October 24
2015-10-25,115,336.7142857142857,Trump 1.0,-453,October 25
2015-10-26,368,331.14285714285717,Trump 1.0,-452,October 26
2015-10-27,476,332.42857142857144,Trump 1.0,-451,October 27
2015-10-28,455,338.42857142857144,Trump 1.0,-450,October 28
2015-10-29,487,345.2857142857143,Trump 1.0,-449,October 29
2015-10-30,947,423.7142857142857,Trump 1.0,-448,October 30
2015-10-31,70,416.85714285714283,Trump 1.0,-447,October 31
2015-11-01,50,407.57142857142856,Trump 1.0,-446,November 1
2015-11-02,589,439.14285714285717,Trump 1.0,-445,November 2
2015-11-03,436,433.42857142857144,Trump 1.0,-444,November 3
2015-11-04,445,432.0,Trump 1.0,-443,November 4
2015-11-05,426,423.2857142857143,Trump 1.0,-442,November 5
2015-11-06,398,344.85714285714283,Trump 1.0,-441,November 6
2015-11-07,49,341.85714285714283,Trump 1.0,-440,November 7
