Date,Total,ICE,CBP
9/21/25,"59,762","46,015","13,747"
9/7/25,"58,766","44,844","13,922"
8/24/25,"61,226","46,595","14,631"
8/10/25,"59,380","44,811","14,569"
7/27/25,"56,945","42,074","14,871"
7/13/25,"56,816","41,349","15,467"
6/29/25,"57,861","41,447","16,414"
6/15/25,"56,397","39,312","17,085"
6/1/25,"51,302","33,976","17,326"
5/18/25,"48,870","31,095","17,775"
5/4/25,"49,005","30,420","18,585"
4/20/25,"49,184","30,039","19,145"
4/6/25,"47,928","28,688","19,240"
3/23/25,"47,892","27,838","20,054"
3/9/25,"46,269","25,732","20,537"
2/23/25,"43,759","22,622","21,137"
2/9/25,"41,169","19,304","21,865"
1/26/25,"39,238","14,882","24,356"
1/12/25,"39,703","14,557","25,146"
12/29/24,"39,152","14,320","24,832"
12/15/24,"38,406","14,292","24,114"
12/1/24,"38,728","14,073","24,655"
11/3/24,"38,863","13,902","24,961"
9/8/24,"37,395","13,561","23,834"
8/25/24,"36,223","13,508","22,715"
8/11/24,"36,326","13,450","22,876"
7/14/24,"37,004","13,252","23,752"
6/30/24,"37,509","12,831","24,678"
6/16/24,"38,525","12,841","25,684"
6/2/24,"37,360","12,479","24,881"
5/19/24,"36,571","12,397","24,174"
5/5/24,"36,603","12,336","24,267"
4/21/24,"34,373","12,083","22,290"
4/7/24,"34,580","11,803","22,777"
3/24/24,"36,931","11,683","25,248"
3/10/24,"39,111","11,488","27,623"
2/25/24,"39,175","11,287","27,888"
2/11/24,"38,258","11,237","27,021"
1/28/24,"38,498","10,955","27,543"
1/13/24,"37,782","10,879","26,903"
12/31/23,"37,131","10,870","26,261"
12/17/23,"36,263","10,388","25,875"
12/3/23,"36,755","10,270","26,485"
11/19/23,"39,013","10,098","28,915"
11/5/23,"39,748","9,930","29,818"
10/3/23,"36,845","9,967","26,878"
9/24/23,"35,289","9,404","25,885"
9/10/23,"35,589","9,411","26,178"
8/27/23,"32,743","9,624","23,119"
8/13/23,"30,184","9,903","20,281"
7/30/23,"30,438","10,400","20,038"
7/16/23,"31,064","10,268","20,796"
7/2/23,"30,003","9,682","20,321"
6/18/23,"29,613","9,595","20,018"
6/4/23,"29,914","9,221","20,693"
5/21/23,"27,330","9,434","17,896"
5/7/23,"21,293","9,431","11,862"
4/23/23,"24,944","9,820","15,124"
4/9/23,"25,753","9,777","15,976"
3/26/23,"26,898","9,521","17,377"
3/12/23,"27,723","9,431","18,292"
2/26/23,"27,010","9,112","17,898"
2/12/23,"26,410","8,638","17,772"
1/29/23,"24,170","8,296","15,874"
1/15/23,"20,892","8,069","12,823"
1/1/23,"20,506","8,112","12,394"
12/18/22,"23,060","8,168","14,892"
12/4/22,"29,026","8,218","20,808"
11/20/22,"30,001","8,191","21,810"
10/31/22,"29,984","8,199","21,785"
9/25/22,"25,134","7,609","17,525"
9/10/22,"25,776","7,296","18,480"
8/15/22,"24,127","6,954","17,173"
7/31/22,"23,390","6,559","16,831"
7/17/22,"22,886","6,347","16,539"
7/5/22,"23,156","6,040","17,116"
6/19/22,"23,390","5,979","17,411"
6/5/22,"24,591","5,795","18,796"
5/7/22,"22,281","5,398","16,883"
4/24/22,"19,502","5,315","14,187"
4/11/22,"18,846","5,212","13,634"
3/27/22,"20,733","5,060","15,673"
3/13/22,"20,146","5,007","15,139"
2/27/22,"17,984","4,889","13,095"
2/13/22,"19,948","4,911","15,037"
1/16/22,"20,886","4,721","16,165"
1/2/22,"22,068","4,658","17,410"
12/19/21,"20,623","4,629","15,994"
12/5/21,"21,952","4,762","17,190"
11/21/21,"22,438","4,710","17,728"
10/1/21,"22,129","4,996","17,133"
9/16/21,"21,566","4,623","16,943"
9/13/21,"23,014","4,537","18,477"
8/24/21,"25,162","4,589","20,573"
8/6/21,"25,526","4,555","20,971"
7/22/21,"26,771","4,548","22,223"
7/8/21,"27,217","4,604","22,613"
6/24/21,"26,222","4,668","21,554"
6/11/21,"24,463","4,605","19,858"
5/28/21,"21,519","4,667","16,852"
5/13/21,"19,041","4,825","14,216"
5/3/21,"15,697","4,883","10,814"
4/14/21,"15,136","5,306","9,830"
3/31/21,"13,914","5,775","8,139"
3/17/21,"14,052","6,879","7,173"
2/25/21,"13,258","8,351","4,907"
2/11/21,"14,095","9,421","4,674"
1/22/21,"14,195","9,879","4,316"
1/7/21,"15,444","10,710","4,734"
12/30/20,"15,350","10,789","4,561"
12/10/20,"15,772","11,011","4,761"
11/26/20,"16,075","11,229","4,846"
11/14/20,"16,634","11,503","5,131"
9/18/20,"20,018","13,432","6,586"
9/4/20,"20,489","13,509","6,980"
8/21/20,"21,007","13,597","7,410"
8/8/20,"21,118","13,437","7,681"
8/1/20,"21,546","13,441","8,105"
7/25/20,"21,884","13,501","8,383"
7/18/20,"22,142","13,295","8,847"
7/11/20,"22,340","13,359","8,981"
7/4/20,"22,579","13,332","9,247"
6/27/20,"22,805","13,484","9,321"
6/20/20,"23,429","13,641","9,788"
6/13/20,"24,041","13,914","10,127"
6/6/20,"24,713","14,125","10,588"
5/30/20,"25,421","14,339","11,082"
5/23/20,"25,911","14,549","11,362"
5/16/20,"26,660","14,776","11,884"
5/9/20,"27,908","15,405","12,503"
5/2/20,"28,865","15,676","13,189"
4/25/20,"29,675","15,855","13,820"
4/18/20,"30,737","16,171","14,566"
4/11/20,"32,309","16,874","15,435"
3/21/20,"38,058","19,253","18,805"
2/29/20,"38,537","18,897","19,640"
2/8/20,"39,422","18,679","20,743"
1/4/20,"41,631","17,981","23,650"
12/21/19,"41,933","17,887","24,046"
11/30/19,"44,860","18,298","26,562"
10/26/19,"49,419","18,730","30,689"
9/30/19,"50,922","18,881","32,041"
9/21/19,"51,302","18,170","33,132"
8/31/19,"52,930","18,101","34,829"
8/3/19,"55,654","18,468","37,186"
6/1/19,"52,465","19,060","33,405"
5/4/19,"49,645","19,549","30,096"
