Representative,Party,State Full,state,Vote,district,statedistrict,pvi,year,Full Name,last_name,party
Adams,Democratic,North Carolina,NC,Nay,13,NC-13,2.0,2024.0,Alma S. Adams,Adams,Democrat
Aderholt,Republican,Alabama,AL,Yea,4,AL-4,33.0,2024.0,Robert B. Aderholt,Aderholt,Republican
Aguilar,Democratic,California,CA,Nay,33,CA-33,-12.0,2024.0,Pete Aguilar,Aguilar,Democrat
Alford,Republican,Missouri,MO,Yea,4,MO-4,23.0,2024.0,Mark Alford,Alford,Republican
Allen,Republican,Georgia,GA,Yea,12,GA-12,8.0,2024.0,Rick W. Allen,Allen,Republican
Amo,Democratic,Rhode Island,RI,Nay,2,RI-2,-4.0,2024.0,Gabe Amo,Amo,Democrat
Amodei,Republican,Nevada,NV,Yea,3,NV-3,-1.0,2024.0,Mark E. Amodei,Amodei,Republican
Ansari,Democratic,Arizona,AZ,Nay,4,AZ-4,-2.0,2024.0,Yassamin Ansari,Ansari,Democrat
Arrington,Republican,Texas,TX,Yea,19,TX-19,26.0,2024.0,Jodey C. Arrington,Arrington,Republican
Auchincloss,Democratic,Massachusetts,MA,Nay,4,MA-4,-12.0,2024.0,Jake Auchincloss,Auchincloss,Democrat
Babin,Republican,Texas,TX,Yea,36,TX-36,18.0,2024.0,Brian Babin,Babin,Republican
Bacon,Republican,Nebraska,NE,Yea,3,NE-3,29.0,2024.0,Don Bacon,Bacon,Republican
Baird,Republican,Indiana,IN,Yea,4,IN-4,18.0,2024.0,James R. Baird,Baird,Republican
Balderson,Republican,Ohio,OH,Yea,13,OH-13,1.0,2024.0,Troy Balderson,Balderson,Republican
Balint,Democratic,Vermont,VT,Nay,AL,VT-AL,-16.0,2024.0,Becca Balint,Balint,Democrat
Barr,Republican,Kentucky,KY,Yea,6,KY-6,9.0,2024.0,Andy Barr,Barr,Republican
Barragan,Democratic,California,CA,Nay,44,CA-44,-24.0,2024.0,Nanette Diaz Barragan,Barragan,Democrat
Barrett,Republican,Michigan,MI,Yea,7,MI-7,2.0,2024.0,Tom Barrett,Barrett,Republican
Baumgartner,Republican,Washington,WA,Yea,5,WA-5,8.0,2024.0,Michael Baumgartner,Baumgartner,Republican
Bean,Republican,Florida,FL,Yea,4,FL-4,6.0,2024.0,Aaron Bean,Bean,Republican
Beatty,Democratic,Ohio,OH,Nay,4,OH-4,20.0,2024.0,Joyce Beatty,Beatty,Democrat
Begich,Republican,Alaska,AK,Yea,AL,AK-AL,8.0,2024.0,Nicholas J. Begich III,Begich,Republican
Bell,Democratic,Missouri,MO,Nay,1,MO-1,-27.0,2024.0,Wesley Bell,Bell,Democrat
Bentz,Republican,Oregon,OR,Yea,3,OR-3,-22.0,2024.0,Cliff Bentz,Bentz,Republican
Bera,Democratic,California,CA,Nay,6,CA-6,-7.0,2024.0,Ami Bera,Bera,Democrat
Bergman,Republican,Michigan,MI,Yea,1,MI-1,13.0,2024.0,Jack Bergman,Bergman,Republican
Beyer,Democratic,Virginia,VA,Nay,8,VA-8,-26.0,2024.0,"Donald S. Beyer, Jr.",Beyer,Democrat
Biggs,Republican,Arizona,AZ,Yea,6,AZ-6,3.0,2024.0,Andy Biggs,Biggs,Republican
Biggs,Republican,South Carolina,SC,Yea,4,SC-4,12.0,2024.0,Sheri Biggs,Biggs,Republican
Bilirakis,Republican,Florida,FL,Yea,12,FL-12,17.0,2024.0,Gus M. Bilirakis,Bilirakis,Republican
Bishop,Democratic,Georgia,GA,Yea,2,GA-2,-3.0,2024.0,"Sanford D. Bishop, Jr.",Bishop,Democrat
Boebert,Republican,Colorado,CO,Yea,4,CO-4,13.0,2024.0,Lauren Boebert,Boebert,Republican
Bonamici,Democratic,Oregon,OR,Nay,2,OR-2,15.0,2024.0,Suzanne Bonamici,Bonamici,Democrat
Bost,Republican,Illinois,IL,Yea,12,IL-12,24.0,2024.0,Mike Bost,Bost,Republican
Boyle,Democratic,Pennsylvania,PA,Yea,3,PA-3,-39.0,2024.0,Brendan F. Boyle,Boyle,Democrat
Brecheen,Republican,Oklahoma,OK,Yea,3,OK-3,24.0,2024.0,Josh Brecheen,Brecheen,Republican
Bresnahan,Republican,Pennsylvania,PA,Yea,9,PA-9,21.0,2024.0,"Robert P. Bresnahan, Jr.",Bresnahan,Republican
Brown,Democratic,Ohio,OH,Nay,12,OH-12,18.0,2024.0,Shontel M. Brown,Brown,Democrat
Brownley,Democratic,California,CA,Nay,26,CA-26,-8.0,2024.0,Julia Brownley,Brownley,Democrat
Buchanan,Republican,Florida,FL,Yea,16,FL-16,7.0,2024.0,Vern Buchanan,Buchanan,Republican
