operational_status,site_postcode,site_grid_reference,easting,northing,latitude,longitude,nrw_area
Operational,LL22 8AA,SH 93930 75420,293930,375420,53.26513426976632,-3.591760282644687,North
Operational,LL78 7JJ,SH 48474 80784,248474,380784,53.302270010259384,-4.27533859041127,North
Closed,LL54 7SF,SH 49902 53971,249902,353971,53.06184333331392,-4.241329462516394,North
Operational,CF72 8PG,ST 05405 81001,305405,181001,51.519978593056976,-3.3647680996024683,SouthEast
Operational,CF5 6AW,ST 11700 73400,311700,173400,51.45267168102088,-3.272161250844042,SouthEast
,LL56 4QG,SH 54600 68100,254600,368100,53.19005658436173,-4.177687832944622,North
Closed,SA13 2NG,SS 77609 84235,277609,184235,51.54369901756162,-3.7663286996694936,SouthWest
Closed,SA10 6HJ,SS 70580 95638,270580,195638,51.64460295936208,-3.871842977114164,SouthWest
Closed,SA14 9SD,SS 52784 99764,252784,199764,51.67729487171214,-4.130599119736404,SouthWest
Closed,CH7 3LY,SJ 29064 65092,329064,365092,53.178182788778216,-3.062821455764955,North
Closed,LL13 9RJ,SJ 38587 49814,338587,349814,53.04205276626393,-2.9174289721070186,North
Closed,SA32 8HD,SN 44503 17979,244503,217979,51.83870743701098,-4.258424814155852,SouthWest
Closed,LL14 6RF,SJ 30087 44716,330087,344716,52.99518837627362,-3.043079379477904,North
Closed,CH7 4HB,SJ 29157 62054,329157,362054,53.150891564368756,-3.060756566637778,North
Closed,SA36 0ED,SN 22088 32756,222088,232756,51.96473579385971,-4.591070630427419,SouthWest
Closed,SA13 2PE,SS 79693 82867,279693,182867,51.53185293569656,-3.7358234759862246,SouthWest
Closed,CF11 0JL,ST 17268 73504,317268,173504,51.454448722407086,-3.1920729248498545,SouthEast
Operational,SA32 7SE,SN 52488 37442,252488,237442,52.015740221286734,-4.150961370475261,SouthWest
Closed,CH5 3AH,SJ 29958 67294,329958,367294,53.198091572658306,-3.0499310835295104,North
Closed,SA6 6ND,SS 66547 99223,266547,199223,51.67587476424176,-3.9314646841908014,SouthWest
Closed,LL13 9RJ,SJ 38587 49814,338587,349814,53.04205276626393,-2.9174289721070186,North
Closed,LD3 0RW,SO 09578 31966,309578,231966,51.97877307441613,-3.317910717569915,Mid
Closed,SA62 3NX,SM 93678 12697,193678,212697,51.774815027179436,-4.992045571819582,SouthWest
Closed,SA12 7TZ,SS 73316 91939,273316,191939,51.61198483624803,-3.8309835824908114,SouthWest
Closed,CF48 4AJ,SO 06260 05620,306260,205620,51.741415139209856,-3.3590481325209396,SouthEast
Closed,NP13 2ER,SO 20008 03139,320008,203139,51.72124674299013,-3.1594110790958507,SouthEast
Closed,LL54 6BA,SH 49885 52603,249885,352603,53.049550912499974,-4.24094494093226,North
Closed,LL11 3AE,SJ 20751 52036,320751,352036,53.05967307022861,-3.1839461973709415,North
Closed,LL12 0AE,SJ 32747 56798,332747,356798,53.10411891929517,-3.0059812076833983,North
Closed,CF46 6SH,SO 09380 02056,309380,202056,51.70989308805509,-3.3129451676661636,SouthEast
,CF83 3RP,ST 15406 89539,315406,189539,51.598317887894346,-3.222720545933591,SouthEast
Closed,CF39 0PS,ST 01877 94337,301877,194337,51.63924780980146,-3.419330485153945,SouthEast
Closed,CH6 6HE,SJ 22151 75431,322151,375431,53.27013114986199,-3.1687612364260374,North
Closed,LL54 6BB,SH 50590 52677,250590,352677,53.05041319045694,-4.230470452960786,North
Closed,SA62 3NX,SM 93779 12694,193779,212694,51.77482532165991,-4.990581943539177,SouthWest
Closed,CF62 3ZR,ST 03541 67087,303541,167087,51.39459167555472,-3.3878255816319363,SouthEast
Closed,NP19 4QX,ST 37559 86205,337559,186205,51.57124067646087,-2.902343071749336,SouthEast
Closed,SA1 8QP,SS 68747 93461,268747,193461,51.62461455678134,-3.89750199130152,SouthWest
Closed,SA71 5AA,SM 90762 01132,190762,201132,51.66989558705236,-5.027300127735518,SouthWest
Closed,LL59 5RY,SH 53285 74494,253285,374494,53.2471275399903,-4.200296816835241,North
Closed,SA44 4SX,SN 38038 45531,238038,245531,52.08437201884898,-4.365178085874231,Mid
Closed,CH7 5ED,SJ 20590 63613,320590,363613,53.16369233953229,-3.1892159561712936,North
Closed,SA67 8LA,SN 14937 10768,214937,210768,51.76492643372866,-4.6832530601228415,SouthWest
,LL54 5DF,SH 45067 49027,245067,349027,53.01605685987267,-4.311040563922913,North
,NP20 2NS,ST 30380 85851,330380,185851,51.567215977249354,-3.0058408351355026,SouthEast
Closed,CF46 6SH,SO 09372 02122,309372,202122,51.71048505333492,-3.3130781027360117,SouthEast
Closed,SY21 9EY,SJ 14638 06361,314638,306361,52.64824103070651,-3.263158626072353,Mid
Operational,LL46 2UW,SH 57933 33868,257933,333868,52.883453508043445,-4.112746687017449,North
Closed,CF41 7TL,SS 98107 94321,298107,194321,51.638432900175125,-3.4737854116013493,SouthEast
Closed,CF33 6RD,SS 84085 81696,284085,181696,51.52224812170311,-3.672149173603062,SouthWest
Closed,SY21 8TS,SJ 24750 01726,324750,301726,52.608080611260796,-3.1126698976243854,Mid
Closed,SA33 6SR,SN 35109 31812,235109,231812,51.960272722113245,-4.401272441389236,SouthWest
Closed,SA5 7LA,SS 63248 97652,263248,197652,51.66096393964652,-3.9785308433231035,SouthWest
Closed,SA62 5TD,SM 97569 28979,197569,228979,51.922433487039136,-4.945262312299014,SouthWest
Operational,LL78 7JJ,SH 48150 81150,248150,381150,53.30546445028444,-4.2803717209066985,North
Closed,LD2 3NB,SN 95338 54785,295338,254785,52.181353347757565,-3.532172588342481,Mid
Closed,LL15 2EL,SJ 12864 54380,312864,354380,53.07950873701827,-3.3022339469725863,North
Closed,SA11 2LN,SS 73372 95863,273372,195863,51.64726112923357,-3.8315955035850133,SouthWest
Closed,CH5 3AH,SJ 29850 67460,329850,367460,53.199569214096485,-3.0515839861712046,North
Closed,CH7 6RJ,SJ 26296 65825,326296,365825,53.18439369057763,-3.104398087932897,North
Closed,SA62 3NX,SM 93387 12677,193387,212677,51.7745280819556,-4.996245503870487,SouthWest
Operational,NP19 4QZ,ST 39534 86501,339534,186501,51.57411748784078,-2.8739008727627446,SouthEast
Closed,SA32 8BG,SN 47236 17448,247236,217448,51.834691598651176,-4.21855344039211,SouthWest
Closed,SA62 6XE,SM 78489 26655,178489,226655,51.894307197610026,-5.22078562443099,SouthWest
Closed,CH7 4EW,SJ 24392 61599,324392,361599,53.14614641799741,-3.13188438577181,North
Closed,LL18 6HU,SJ 07290 78181,307290,378181,53.29245059264963,-3.3923304542996187,North
Closed,SA72 4SX,SM 99492 02792,199492,202792,51.68798631520399,-4.902182818285643,SouthWest
Closed,CF32 0TN,SS 91461 74734,291461,174734,51.46113998260239,-3.5637351921509466,SouthWest
Closed,NP10 8RR,ST 25294 85754,325294,185754,51.5656920484649,-3.0791851853247043,SouthEast
Closed,LL55 2BF,SH 50214 62873,250214,362873,53.141889935834996,-4.240831396697797,North
Closed,CF32 0NP,SS 84517 80563,284517,180563,51.51215371475814,-3.665553718707866,SouthWest
