FID,objectid,permit_number,operator,permit_status,effective_date,operational_status,permit_type,site_name,site_address_1,site_address_2,site_address_3,site_towncity,site_postcode,site_grid_reference,easting,northing,nrw_area,complianceteam,local_aurthority,permit_regime,permit_activity_code,permit_activity_description,permit_activity_limit,permit_activity_limit_units,geom
nrw_authorised_landfill_sites_pnt.1,1,BP3330LS,Mr Griffith Wyn Griffiths and Mr Edward Lloyd Griffiths,Effective,2024-06-27T01:00:00,Operational,Bespoke,Ty Mawr Farm Landfill,Betws Yn Rhos,,,Abergele,LL22 8AA,SH 93930 75420,293930,375420,North,NW Industry & Waste Regulation Team,Conwy,Waste,L05,Inert Landfill,99000,Tonnes per annum,POINT (293930 375420)
nrw_authorised_landfill_sites_pnt.2,2,FP3590LV,Clive Hurt Anglesey Limited,Effective,2025-09-05T01:00:00,Operational,Bespoke,Rhuddlan Bach Quarry Landfill Site,Rhuddlan Bach Quarry,,,Brynteg,LL78 7JJ,SH 48474 80784,248474,380784,North,North Waste Regulation,Isle of Anglesey,Waste,L05,Inert Landfill,125000,Tonnes per annum,POINT (248474 380784)
nrw_authorised_landfill_sites_pnt.3,3,KP3094FZ,Gwynedd Council,Effective,2020-12-18T00:00:00,Closed,Bespoke,Cilgwyn Landfill Site,Carmel,,,Penygroes,LL54 7SF,SH 49902 53971,249902,353971,North,NE Waste Regulation Team,Gwynedd,Waste,A04,"Household, Commercial & Industrial Waste Landfill",0,Tonnes per annum,POINT (249902 353971)
nrw_authorised_landfill_sites_pnt.4,4,KP3795FU,Tarmac Trading Limited,Effective,2023-09-25T01:00:00,Operational,Bespoke,Hendy Quarry Landfill,School Road,Miskin,,Pontyclun,CF72 8PG,ST 05405 81001,305405,181001,SouthEast,SC Waste Regulation Team,Rhondda Cynon Taff,Waste,L05,Inert Landfill,450000,Tonnes per annum,POINT (305405 181001)
nrw_authorised_landfill_sites_pnt.5,5,MP3036SS,Cemex UK Materials Ltd,Effective,2023-01-23T00:00:00,Operational,Bespoke,Whitehall Landfill,Old Port Road,,,Cardiff,CF5 6AW,ST 11700 73400,311700,173400,SouthEast,SC Waste Regulation Team,Vale of Glamorgan,Waste,L05,Inert Landfill,200000,Tonnes per annum,POINT (311700 173400)
nrw_authorised_landfill_sites_pnt.6,6,WP3432SC,Treborth Leisure Limited,Effective,2006-09-08T01:00:00,,Bespoke,Nant Y Garth Landfill Site,Vaynol Woodlands,,,Portdinorwic,LL56 4QG,SH 54600 68100,254600,368100,North,NE Waste Regulation Team,Gwynedd,Waste,L05,Inert Landfill,75000,Tonnes per annum,POINT (254600 368100)
nrw_authorised_landfill_sites_pnt.7,7,AP3292LT,Tata Steel UK Limited,Effective,2021-05-19T01:00:00,Closed,Bespoke,Morfa Tip Closed Landfill Site,Port Talbot Works,Margam,,Port Talbot,SA13 2NG,SS 77609 84235,277609,184235,SouthWest,SW Waste Regulation Team,Neath Port Talbot,Waste,A07,Industrial Waste Landfill (Factory curtilage),0,Tonnes per annum,POINT (277609 184235)
nrw_authorised_landfill_sites_pnt.8,8,AP3990LR,St Modwen Developments Limited,Effective,2017-11-15T00:00:00,Closed,Bespoke,St Modwen Developments Ltd,Llancoed House,,,Llandarcy,SA10 6HJ,SS 70580 95638,270580,195638,SouthWest,SW Waste Regulation Team,Neath Port Talbot,Waste,A07,Industrial Waste Landfill (Factory curtilage),0,Tonnes per annum,POINT (270580 195638)
nrw_authorised_landfill_sites_pnt.9,9,AP3991SM,Carmarthenshire County Council,Effective,1994-03-02T00:00:00,Closed,Bespoke,Land Off Trostre Link Road,Trostre,,,Llanelli,SA14 9SD,SS 52784 99764,252784,199764,SouthWest,SW Waste Regulation Team,Carmarthenshire,Waste,A06,Landfill taking other wastes,0,Tonnes per annum,POINT (252784 199764)
nrw_authorised_landfill_sites_pnt.10,10,BP3390VA,Flintshire County Council,Effective,2018-07-30T01:00:00,Closed,Bespoke,Standard Landfill Site,Land / Premises At,Spencers Industrial Est,,Buckley,CH7 3LY,SJ 29064 65092,329064,365092,North,NE Waste Regulation Team,Flintshire,Waste,A01,Co-Disposal Landfill Site,0,Tonnes per annum,POINT (329064 365092)
