Departure Country,Citizenship Country,Count
MEXICO,VENEZUELA,1456
HONDURAS,VENEZUELA,851
MEXICO,GUATEMALA,798
MEXICO,CUBA,465
MEXICO,HONDURAS,330
EL SALVADOR,VENEZUELA,240
MEXICO,NICARAGUA,204
COLOMBIA,VENEZUELA,188
MEXICO,EL SALVADOR,143
PANAMA,COLOMBIA,106
PANAMA,ECUADOR,95
CANADA,INDIA,92
EL SALVADOR,HONDURAS,85
CANADA,HAITI,74
EL SALVADOR,NICARAGUA,69
PANAMA,NICARAGUA,56
GUATEMALA,MEXICO,48
CANADA,TURKIYE,47
UNKNOWN,MEXICO,45
PANAMA,VENEZUELA,45
HONDURAS,GUATEMALA,45
COLOMBIA,ECUADOR,43
TURKIYE,RUSSIA,43
GUATEMALA,HONDURAS,39
PANAMA,BRAZIL,38
COLOMBIA,PERU,36
COSTA RICA,RUSSIA,35
MEXICO,HAITI,34
TURKIYE,ROMANIA,33
MEXICO,COLOMBIA,32
CANADA,COLOMBIA,31
PANAMA,PERU,31
EL SALVADOR,COLOMBIA,31
CANADA,AFGHANISTAN,30
COSTA RICA,UZBEKISTAN,29
CANADA,ROMANIA,28
VENEZUELA,COLOMBIA,26
COSTA RICA,"CHINA, PEOPLES REPUBLIC OF",25
CURACAO,VENEZUELA,24
EL SALVADOR,GUATEMALA,24
CANADA,SRI LANKA,24
PANAMA,HONDURAS,23
EL SALVADOR,PERU,22
COLOMBIA,BRAZIL,22
HONG KONG,"CHINA, PEOPLES REPUBLIC OF",19
GUATEMALA,EL SALVADOR,19
ANTIGUA-BARBUDA,VENEZUELA,19
SOUTH KOREA,"CHINA, PEOPLES REPUBLIC OF",18
HONDURAS,MEXICO,18
CANADA,VENEZUELA,16
MEXICO,ECUADOR,16
COSTA RICA,ARMENIA,15
GUADELOUPE,GUATEMALA,15
EGYPT,RUSSIA,13
HONDURAS,NICARAGUA,13
NICARAGUA,HONDURAS,12
CONGO,DEM REP OF THE CONGO,12
CANADA,SUDAN,11
SPAIN,VENEZUELA,11
NETHERLANDS ANTILLES,VENEZUELA,10
GUATEMALA,COLOMBIA,10
PANAMA,GUATEMALA,10
COSTA RICA,TURKIYE,10
SOUTH KOREA,KOREA,10
GERMANY,ROMANIA,9
CANADA,ERITREA,9
CANADA,MEXICO,9
EL SALVADOR,MEXICO,9
UNKNOWN,VENEZUELA,9
COSTA RICA,VIETNAM,9
QATAR,INDIA,9
HONDURAS,EL SALVADOR,9
CANADA,ANGOLA,9
COSTA RICA,AZERBAIJAN,9
UNKNOWN,COLOMBIA,9
COSTA RICA,GEORGIA,9
INDIA,VIETNAM,8
TAJIKISTAN,RUSSIA,8
COSTA RICA,IRAN,8
VENEZUELA,GUATEMALA,8
VENEZUELA,ECUADOR,8
UNITED KINGDOM,ROMANIA,8
QATAR,RUSSIA,8
TAIWAN,"CHINA, PEOPLES REPUBLIC OF",8
CANADA,GUATEMALA,8
CANADA,SOMALIA,8
CANADA,"CHINA, PEOPLES REPUBLIC OF",8
DOMINICA,DOMINICAN REPUBLIC,7
COSTA RICA,AFGHANISTAN,7
HONDURAS,COLOMBIA,7
MOROCCO,MAURITANIA,7
ARMENIA,RUSSIA,7
UNKNOWN,GUATEMALA,7
KENYA,SOMALIA,7
UNKNOWN,HONDURAS,7
ARUBA,COLOMBIA,7
KENYA,ETHIOPIA,7
UNITED ARAB EMIRATES,RUSSIA,7
UNITED KINGDOM,IRELAND,7
CANADA,CHAD,6
UZBEKISTAN,RUSSIA,6
CANADA,DEM REP OF THE CONGO,6
MEXICO,BRAZIL,6
QATAR,NEPAL,6
CANADA,CUBA,6
MEXICO,PERU,6
TURKIYE,GEORGIA,6
VENEZUELA,CHILE,6
INDIA,NEPAL,6
COLOMBIA,GUATEMALA,6
PANAMA,BOLIVIA,6
COLOMBIA,MEXICO,5
COLOMBIA,BOLIVIA,5
JAPAN,"CHINA, PEOPLES REPUBLIC OF",5
COLOMBIA,HONDURAS,5
IRELAND,UNITED KINGDOM,5
UZBEKISTAN,KYRGYZSTAN,5
KAZAKHSTAN,KYRGYZSTAN,5
UNITED ARAB EMIRATES,INDIA,5
GERMANY,EL SALVADOR,5
MEXICO,AFGHANISTAN,5
CANADA,NIGERIA,5
EL SALVADOR,ECUADOR,5
CANADA,BRAZIL,5
DOMINICAN REPUBLIC,SPAIN,5
COSTA RICA,JORDAN,4
COSTA RICA,KYRGYZSTAN,4
BRAZIL,HAITI,4
MAURITIUS,MEXICO,4
COSTA RICA,CONGO,4
UNKNOWN,NICARAGUA,4
UNKNOWN,EL SALVADOR,4
HONDURAS,DOMINICAN REPUBLIC,4
HOLY SEE,HONDURAS,4
CURACAO,BRAZIL,4
NICARAGUA,CUBA,4
QATAR,GEORGIA,4
AUSTRIA,VENEZUELA,4
EGYPT,YEMEN,4
MEXICO,RUSSIA,4
FRANCE,AFGHANISTAN,4
SOUTH KOREA,RUSSIA,4
NICARAGUA,GUATEMALA,4
COSTA RICA,NICARAGUA,4
CANADA,GEORGIA,4
CANADA,PERU,4
TURKIYE,KYRGYZSTAN,4
PERU,CHILE,4
CANADA,CAMEROON,4
KYRGYZSTAN,RUSSIA,4
TURKIYE,INDIA,4
CANADA,PAKISTAN,3
SPAIN,PERU,3
GUYANA,CUBA,3
QATAR,ARMENIA,3
KENYA,SOUTH SUDAN,3
NICARAGUA,COLOMBIA,3
BAHAMAS,HAITI,3
DOMINICAN REPUBLIC,CUBA,3
UZBEKISTAN,KAZAKHSTAN,3
CANADA,VIETNAM,3
TURKIYE,UKRAINE,3
CANADA,INDONESIA,3
ANTIGUA-BARBUDA,BRAZIL,3
CANADA,SYRIA,3
HAITI,DOMINICAN REPUBLIC,3
CANADA,GUINEA,3
SPAIN,COLOMBIA,3
CANADA,HONDURAS,3
VENEZUELA,EL SALVADOR,3
MEXICO,UNKNOWN,3
GUATEMALA,PERU,3
PANAMA,EL SALVADOR,3
COSTA RICA,DEM REP OF THE CONGO,3
UNKNOWN,HAITI,3
COLOMBIA,NICARAGUA,3
HUNGARY,HONDURAS,3
COSTA RICA,KAZAKHSTAN,3
COLOMBIA,EL SALVADOR,3
CHILE,VENEZUELA,3
COSTA RICA,INDIA,3
NIGERIA,NIGER,3
MEXICO,CANADA,3
THAILAND,LAOS,3
NICARAGUA,ECUADOR,3
NIGER,NIGERIA,3
TURKIYE,BELARUS,3
BELIZE,GUATEMALA,3
CUBA,EL SALVADOR,3
MEXICO,COSTA RICA,3
HONDURAS,SPAIN,2
MEXICO,VIETNAM,2
JAPAN,INDONESIA,2
SOUTH KOREA,CAMBODIA,2
