Departure Country,Citizenship Country,Count
MEXICO,VENEZUELA,1456
HONDURAS,VENEZUELA,851
MEXICO,CUBA,465
EL SALVADOR,VENEZUELA,240
MEXICO,NICARAGUA,204
COLOMBIA,VENEZUELA,188
CANADA,HAITI,74
EL SALVADOR,NICARAGUA,69
PANAMA,NICARAGUA,56
PANAMA,VENEZUELA,45
MEXICO,HAITI,34
CURACAO,VENEZUELA,24
ANTIGUA-BARBUDA,VENEZUELA,19
CANADA,VENEZUELA,16
HONDURAS,NICARAGUA,13
SPAIN,VENEZUELA,11
NETHERLANDS ANTILLES,VENEZUELA,10
UNKNOWN,VENEZUELA,9
CANADA,CUBA,6
BRAZIL,HAITI,4
UNKNOWN,NICARAGUA,4
NICARAGUA,CUBA,4
AUSTRIA,VENEZUELA,4
COSTA RICA,NICARAGUA,4
GUYANA,CUBA,3
BAHAMAS,HAITI,3
DOMINICAN REPUBLIC,CUBA,3
UNKNOWN,HAITI,3
COLOMBIA,NICARAGUA,3
CHILE,VENEZUELA,3
PORTUGAL,VENEZUELA,2
PERU,VENEZUELA,2
NICARAGUA,VENEZUELA,2
GUATEMALA,NICARAGUA,2
UNKNOWN,CUBA,2
SPAIN,NICARAGUA,2
TRINIDAD AND TOBAGO,VENEZUELA,2
SOUTH SUDAN,CUBA,2
ARGENTINA,VENEZUELA,2
VANUATU,VENEZUELA,1
VENEZUELA,NICARAGUA,1
TURKIYE,VENEZUELA,1
PANAMA,HAITI,1
UNITED KINGDOM,NICARAGUA,1
NIGERIA,NICARAGUA,1
NEW ZEALAND,NICARAGUA,1
SPAIN,CUBA,1
TURKIYE,CUBA,1
PERU,NICARAGUA,1
SYRIA,VENEZUELA,1
CROATIA,NICARAGUA,1
CENTRAL AFRICAN REPUBLIC,VENEZUELA,1
CANADA,NICARAGUA,1
ESWATINI,CUBA,1
EL SALVADOR,CUBA,1
ECUADOR,VENEZUELA,1
ECUADOR,NICARAGUA,1
CUBA,NICARAGUA,1
DOMINICAN REPUBLIC,HAITI,1
BOLIVIA,CUBA,1
ARGENTINA,CUBA,1
BRAZIL,VENEZUELA,1
KENYA,VENEZUELA,1
JORDAN,NICARAGUA,1
JAMAICA,HAITI,1
ITALY,VENEZUELA,1
FRANCE,NICARAGUA,1
ICELAND,VENEZUELA,1
GUATEMALA,VENEZUELA,1
