geo_id,value
S12000005,18.4
S12000006,13.1
S12000008,17.1
S12000010,9.6
S12000011,5.8
S12000013,10.6
S12000014,16.4
S12000017,11.6
S12000018,11.8
S12000019,7.3
S12000020,11.3
S12000021,8
S12000023,20.2
S12000026,13
S12000027,24.9
S12000028,13
S12000029,14.4
S12000030,8.9
S12000033,13.4
S12000034,11.4
S12000035,10.4
S12000036,9.6
S12000038,16.3
S12000039,15.9
S12000040,18.8
S12000041,11.4
S12000042,16.4
S12000045,4.8
S12000047,15.4
S12000048,6.5
S12000049,17.1
S12000050,20.1
W06000001,14.2
W06000002,14.9
W06000003,12.1
W06000004,14.1
W06000005,12.2
W06000006,13.9
W06000008,9.3
W06000009,15.7
W06000010,13.1
W06000011,11
W06000012,16.4
W06000013,12.1
W06000014,7.7
W06000015,10.2
W06000016,16.6
W06000018,13.6
W06000019,15.8
W06000020,16.3
W06000021,7.1
W06000022,13.7
W06000023,5.8
W06000024,17
