Citizenship Country,Arrests,Percentage
Mexico,67052,60.61
Guatemala,11511,10.41
Honduras,9208,8.32
El Salvador,7061,6.38
Cuba,1467,1.33
Dominican Republic,1465,1.32
Colombia,752,0.68
Ecuador,737,0.67
Brazil,701,0.63
Jamaica,675,0.61
Haiti,647,0.58
"China, Peoples Republic Of",501,0.45
Nicaragua,470,0.42
Vietnam,373,0.34
Iraq,361,0.33
Mexico,81286,37.8
Guatemala,30791,14.32
Honduras,24061,11.19
Venezuela,14461,6.72
El Salvador,10373,4.82
Nicaragua,7050,3.28
Colombia,6732,3.13
Ecuador,5833,2.71
Cuba,5516,2.56
Dominican Republic,3067,1.43
Brazil,3015,1.4
Peru,2567,1.19
"China, Peoples Republic Of",2033,0.95
India,1944,0.9
Haiti,1228,0.57
